onset,duration,trial_type
0.0608716011047363,10.0083129405975,PFace
27.0833170413971,10.008312702179,PFace
51.0865869522095,10.0083131790161,PFace
102.112302303314,10.0083136558533,PFace
157.124663352966,10.0083122253418,PFace
264.14689040184,10.0083129405975,PFace
315.155924797058,10.0083131790161,PFace
397.174048662186,10.0083134174347,PFace
75.1065380573273,10.0083129405975,PScene
129.118066549301,10.0083134174347,PScene
181.127932786942,10.0083138942719,PScene
209.134528398514,10.0083138942719,PScene
237.141124486923,10.0083136558533,PScene
288.150160312653,10.0083131790161,PScene
342.161688566208,10.0083136558533,PScene
369.167454242706,10.0083131790161,PScene
10.0691845417023,10.0083129405975,WMFace
37.091629743576,10.0083124637604,WMFace
61.0949001312256,10.0083129405975,WMFace
112.120615959167,10.0083122253418,WMFace
167.132975578308,10.0083129405975,WMFace
274.155203342438,10.008312702179,WMFace
325.164237976074,10.0083122253418,WMFace
407.18236207962,10.0083124637604,WMFace
85.1148509979248,10.0083138942719,WMScene
139.126379966736,10.0083129405975,WMScene
191.136246681213,10.0083131790161,WMScene
219.142842292786,10.008312702179,WMScene
247.149438142776,10.008312702179,WMScene
298.158473491669,10.0083129405975,WMScene
352.170002222061,10.008312702179,WMScene
379.175767421722,10.0083117485046,WMScene
20.0774974822998,2.00166368484497,TestResp
122.128928184509,2.00166416168213,TestResp
149.134692907333,2.00166296958923,TestResp
201.144559860229,2.00166153907776,TestResp
229.151154994965,2.00166296958923,TestResp
335.172550201416,2.00166273117065,TestResp
389.184079170227,2.00166273117065,TestResp
417.190674543381,2.00166296958923,TestResp
