TrialNumber,Cue,FaceCategory,FaceExemplar,SceneCategory,SceneExemplar,ITI,TestPresence,FaceChange,SceneChange,Response,ReactionTime
1,1,1,23,3,29,5,1,23,22,NaN,NaN
2,1,4,9,2,22,4,0,NaN,NaN,NaN,NaN
3,1,2,92,2,48,5,1,92,48,NaN,NaN
4,2,3,83,4,2,6,0,NaN,NaN,NaN,NaN
5,2,4,92,3,22,6,0,NaN,NaN,NaN,NaN
6,2,3,28,2,10,7,1,12,10,NaN,NaN
7,1,3,26,3,38,4,0,NaN,NaN,NaN,NaN
8,2,1,58,4,52,7,1,58,53,NaN,NaN
9,2,1,82,2,23,6,0,NaN,NaN,NaN,NaN
10,2,2,45,1,48,6,0,NaN,NaN,NaN,NaN
11,1,3,39,1,42,5,1,48,39,NaN,NaN
12,2,4,67,1,10,7,1,67,10,NaN,NaN
13,2,2,71,3,40,7,1,85,40,NaN,NaN
14,1,1,83,1,65,4,0,NaN,NaN,NaN,NaN
15,1,2,10,4,1,4,0,NaN,NaN,NaN,NaN
16,1,4,90,4,7,5,1,70,20,NaN,NaN
17,2,3,70,1,20,6,1,87,25,NaN,NaN
18,2,1,20,1,35,7,0,NaN,NaN,NaN,NaN
19,2,4,20,4,3,6,1,20,22,NaN,NaN
20,1,1,62,4,12,5,1,62,12,NaN,NaN
21,1,3,12,4,43,4,0,NaN,NaN,NaN,NaN
22,1,4,32,3,4,4,0,NaN,NaN,NaN,NaN
23,2,2,20,2,62,6,1,23,62,NaN,NaN
24,1,4,76,1,44,5,1,88,44,NaN,NaN
25,1,1,21,2,27,4,0,NaN,NaN,NaN,NaN
26,2,4,41,2,31,7,0,NaN,NaN,NaN,NaN
27,2,2,1,4,31,7,0,NaN,NaN,NaN,NaN
28,1,2,2,3,58,5,1,2,58,NaN,NaN
29,1,3,46,2,7,5,1,46,23,NaN,NaN
30,2,3,42,3,45,7,0,NaN,NaN,NaN,NaN
31,1,2,16,1,31,4,0,NaN,NaN,NaN,NaN
32,2,1,48,3,35,6,1,63,10,NaN,NaN
33,2,1,21,4,43,6,1,63,43,NaN,NaN
34,2,1,62,2,7,7,0,NaN,NaN,NaN,NaN
35,1,2,20,4,3,5,0,NaN,NaN,NaN,NaN
36,2,3,12,2,27,6,1,12,27,NaN,NaN
37,2,3,46,4,12,7,0,NaN,NaN,NaN,NaN
38,2,2,2,1,44,7,0,NaN,NaN,NaN,NaN
39,2,2,16,3,4,6,1,68,4,NaN,NaN
40,1,3,42,1,35,4,1,42,35,NaN,NaN
41,1,4,41,4,31,4,1,71,9,NaN,NaN
42,1,3,70,3,35,5,0,NaN,NaN,NaN,NaN
43,1,4,20,2,62,5,0,NaN,NaN,NaN,NaN
44,2,4,76,3,58,7,0,NaN,NaN,NaN,NaN
45,1,1,48,1,20,5,0,NaN,NaN,NaN,NaN
46,2,4,32,1,31,6,1,32,46,NaN,NaN
47,1,1,20,3,45,4,1,20,9,NaN,NaN
48,1,2,1,2,31,4,1,77,16,NaN,NaN
49,2,2,10,2,22,7,1,10,65,NaN,NaN
50,2,3,26,1,65,7,1,34,68,NaN,NaN
51,2,1,23,1,42,6,0,NaN,NaN,NaN,NaN
52,2,3,39,3,29,6,0,NaN,NaN,NaN,NaN
53,2,4,9,4,1,7,1,9,18,NaN,NaN
54,2,1,83,3,38,7,1,85,41,NaN,NaN
55,1,2,45,3,22,4,1,1,22,NaN,NaN
56,1,3,83,2,23,4,1,83,23,NaN,NaN
57,1,4,92,1,48,4,1,92,48,NaN,NaN
58,1,2,71,1,10,5,0,NaN,NaN,NaN,NaN
59,1,1,58,2,10,5,0,NaN,NaN,NaN,NaN
60,1,4,67,3,40,5,0,NaN,NaN,NaN,NaN
61,2,4,90,2,48,6,0,NaN,NaN,NaN,NaN
62,1,1,82,4,2,4,1,5,2,NaN,NaN
63,2,2,92,4,7,6,0,NaN,NaN,NaN,NaN
64,1,3,28,4,52,5,0,NaN,NaN,NaN,NaN
65,2,1,48,2,62,4,1,20,63,NaN,NaN
66,1,3,83,1,48,7,0,NaN,NaN,NaN,NaN
67,1,4,92,4,2,7,0,NaN,NaN,NaN,NaN
68,1,2,45,2,23,7,0,NaN,NaN,NaN,NaN
69,2,3,42,2,31,5,0,NaN,NaN,NaN,NaN
70,2,4,20,3,35,4,1,36,35,NaN,NaN
71,2,3,70,4,3,4,1,70,3,NaN,NaN
72,1,4,67,2,10,6,1,19,10,NaN,NaN
73,1,1,58,1,10,6,1,58,10,NaN,NaN
74,1,2,71,4,52,6,1,71,44,NaN,NaN
75,2,2,1,3,45,5,0,NaN,NaN,NaN,NaN
76,2,2,20,1,20,4,1,34,27,NaN,NaN
77,2,4,41,1,35,5,0,NaN,NaN,NaN,NaN
78,2,1,20,4,31,5,0,NaN,NaN,NaN,NaN
79,1,3,28,3,40,6,1,28,41,NaN,NaN
80,1,1,82,3,22,7,0,NaN,NaN,NaN,NaN
81,2,3,46,3,58,4,1,46,58,NaN,NaN
82,2,1,21,3,4,5,0,NaN,NaN,NaN,NaN
83,1,3,39,4,7,7,1,10,7,NaN,NaN
84,1,4,9,1,65,6,0,NaN,NaN,NaN,NaN
85,1,2,92,1,42,7,1,43,35,NaN,NaN
86,2,1,62,1,44,4,1,62,20,NaN,NaN
87,1,3,26,2,22,6,0,NaN,NaN,NaN,NaN
88,2,3,12,1,31,5,0,NaN,NaN,NaN,NaN
89,2,2,2,4,12,4,1,42,44,NaN,NaN
90,1,1,23,2,48,7,1,94,48,NaN,NaN
91,1,4,90,3,29,7,1,90,29,NaN,NaN
92,2,4,32,4,43,5,0,NaN,NaN,NaN,NaN
93,1,2,10,3,38,6,0,NaN,NaN,NaN,NaN
94,2,2,16,2,27,5,0,NaN,NaN,NaN,NaN
95,1,1,83,4,1,6,0,NaN,NaN,NaN,NaN
96,2,4,76,2,7,4,1,76,19,NaN,NaN
97,1,4,32,2,27,7,1,31,27,NaN,NaN
98,1,2,16,4,43,7,1,16,12,NaN,NaN
99,2,4,90,1,42,4,0,NaN,NaN,NaN,NaN
