TrialNumber,Cue,FaceCategory,FaceExemplar,SceneCategory,SceneExemplar,ITI,TestPresence,FaceChange,SceneChange,Response,ReactionTime
1,2,3,28,2,10,7,1,28,10,NaN,NaN
2,1,4,90,4,7,5,1,4,7,NaN,NaN
3,1,1,83,1,65,4,0,NaN,NaN,NaN,NaN
4,1,2,92,2,48,5,1,92,2,NaN,NaN
5,2,1,82,2,23,6,0,NaN,NaN,NaN,NaN
6,1,1,23,3,29,5,1,23,29,NaN,NaN
7,1,2,10,4,1,4,0,NaN,NaN,NaN,NaN
8,2,2,45,1,48,6,0,NaN,NaN,NaN,NaN
9,1,3,26,3,38,4,0,NaN,NaN,NaN,NaN
10,2,3,83,4,2,6,0,NaN,NaN,NaN,NaN
11,1,3,39,1,42,5,1,81,52,NaN,NaN
12,2,4,67,1,10,7,1,8,10,NaN,NaN
13,2,2,71,3,40,7,1,82,57,NaN,NaN
14,2,4,92,3,22,6,0,NaN,NaN,NaN,NaN
15,2,1,58,4,52,7,1,58,46,NaN,NaN
16,1,4,9,2,22,4,0,NaN,NaN,NaN,NaN
17,1,4,76,1,44,5,1,76,44,NaN,NaN
18,2,4,20,4,3,6,1,49,50,NaN,NaN
19,2,2,1,4,31,7,0,NaN,NaN,NaN,NaN
20,1,4,32,3,4,4,0,NaN,NaN,NaN,NaN
21,2,1,20,1,35,7,0,NaN,NaN,NaN,NaN
22,1,3,12,4,43,4,0,NaN,NaN,NaN,NaN
23,2,4,41,2,31,7,0,NaN,NaN,NaN,NaN
24,2,3,70,1,20,6,1,70,20,NaN,NaN
25,1,2,2,3,58,5,1,63,51,NaN,NaN
26,1,1,62,4,12,5,1,62,12,NaN,NaN
27,2,1,48,3,35,6,1,6,64,NaN,NaN
28,1,3,46,2,7,5,1,46,7,NaN,NaN
29,2,2,20,2,62,6,1,51,24,NaN,NaN
30,1,2,16,1,31,4,0,NaN,NaN,NaN,NaN
31,2,3,42,3,45,7,0,NaN,NaN,NaN,NaN
32,1,1,21,2,27,4,0,NaN,NaN,NaN,NaN
33,1,4,20,2,62,5,0,NaN,NaN,NaN,NaN
34,2,3,12,2,27,6,1,12,27,NaN,NaN
35,2,3,46,4,12,7,0,NaN,NaN,NaN,NaN
36,2,1,62,2,7,7,0,NaN,NaN,NaN,NaN
37,1,1,20,3,45,4,1,95,63,NaN,NaN
38,2,4,32,1,31,6,1,87,31,NaN,NaN
39,2,2,16,3,4,6,1,59,49,NaN,NaN
40,2,4,76,3,58,7,0,NaN,NaN,NaN,NaN
41,1,3,42,1,35,4,1,42,9,NaN,NaN
42,1,3,70,3,35,5,0,NaN,NaN,NaN,NaN
43,1,1,48,1,20,5,0,NaN,NaN,NaN,NaN
44,1,4,41,4,31,4,1,41,31,NaN,NaN
45,1,2,1,2,31,4,1,3,31,NaN,NaN
46,2,2,2,1,44,7,0,NaN,NaN,NaN,NaN
47,1,2,20,4,3,5,0,NaN,NaN,NaN,NaN
48,2,1,21,4,43,6,1,21,52,NaN,NaN
49,1,1,58,2,10,5,0,NaN,NaN,NaN,NaN
50,2,1,23,1,42,6,0,NaN,NaN,NaN,NaN
51,1,1,82,4,2,4,1,12,15,NaN,NaN
52,2,2,92,4,7,6,0,NaN,NaN,NaN,NaN
53,2,4,90,2,48,6,0,NaN,NaN,NaN,NaN
54,2,3,26,1,65,7,1,65,65,NaN,NaN
55,1,3,28,4,52,5,0,NaN,NaN,NaN,NaN
56,1,4,67,3,40,5,0,NaN,NaN,NaN,NaN
57,2,2,10,2,22,7,1,22,22,NaN,NaN
58,1,2,45,3,22,4,1,45,40,NaN,NaN
59,1,3,83,2,23,4,1,83,23,NaN,NaN
60,1,4,92,1,48,4,1,92,58,NaN,NaN
61,2,3,39,3,29,6,0,NaN,NaN,NaN,NaN
62,2,1,83,3,38,7,1,5,38,NaN,NaN
63,2,4,9,4,1,7,1,9,66,NaN,NaN
64,1,2,71,1,10,5,0,NaN,NaN,NaN,NaN
65,1,1,82,3,22,7,0,NaN,NaN,NaN,NaN
66,1,2,45,2,23,7,0,NaN,NaN,NaN,NaN
67,2,4,20,3,35,4,1,20,35,NaN,NaN
68,2,4,41,1,35,5,0,NaN,NaN,NaN,NaN
69,2,1,20,4,31,5,0,NaN,NaN,NaN,NaN
70,2,1,48,2,62,4,1,48,1,NaN,NaN
71,1,1,58,1,10,6,1,27,17,NaN,NaN
72,2,2,1,3,45,5,0,NaN,NaN,NaN,NaN
73,1,3,83,1,48,7,0,NaN,NaN,NaN,NaN
74,1,3,28,3,40,6,1,18,43,NaN,NaN
75,2,2,20,1,20,4,1,76,20,NaN,NaN
76,1,4,92,4,2,7,0,NaN,NaN,NaN,NaN
77,2,3,42,2,31,5,0,NaN,NaN,NaN,NaN
78,1,2,71,4,52,6,1,71,52,NaN,NaN
79,2,3,70,4,3,4,1,70,3,NaN,NaN
80,1,4,67,2,10,6,1,59,65,NaN,NaN
81,1,4,90,3,29,7,1,90,29,NaN,NaN
82,1,3,26,2,22,6,0,NaN,NaN,NaN,NaN
83,2,3,46,3,58,4,1,80,58,NaN,NaN
84,1,3,39,4,7,7,1,53,56,NaN,NaN
85,2,1,62,1,44,4,1,62,2,NaN,NaN
86,2,2,16,2,27,5,0,NaN,NaN,NaN,NaN
87,2,3,12,1,31,5,0,NaN,NaN,NaN,NaN
88,2,2,2,4,12,4,1,88,31,NaN,NaN
89,2,4,32,4,43,5,0,NaN,NaN,NaN,NaN
90,1,4,9,1,65,6,0,NaN,NaN,NaN,NaN
91,1,2,10,3,38,6,0,NaN,NaN,NaN,NaN
92,2,4,76,2,7,4,1,76,7,NaN,NaN
93,1,1,23,2,48,7,1,23,48,NaN,NaN
94,1,1,83,4,1,6,0,NaN,NaN,NaN,NaN
95,2,1,21,3,4,5,0,NaN,NaN,NaN,NaN
96,1,2,92,1,42,7,1,32,40,NaN,NaN
97,1,1,62,3,58,6,0,NaN,NaN,NaN,NaN
98,2,4,9,3,38,5,1,63,24,NaN,NaN
99,2,2,92,3,29,4,0,NaN,NaN,NaN,NaN
100,2,1,23,4,7,4,0,NaN,NaN,NaN,NaN
101,2,3,39,2,48,4,0,NaN,NaN,NaN,NaN
102,2,3,26,4,1,5,1,78,1,NaN,NaN
103,1,1,21,1,31,7,1,21,31,NaN,NaN
104,1,2,16,4,43,7,1,16,43,NaN,NaN
105,1,3,12,3,4,7,1,30,4,NaN,NaN
106,1,4,32,2,27,7,1,43,55,NaN,NaN
107,2,1,83,2,22,5,1,83,14,NaN,NaN
108,1,4,76,4,12,6,0,NaN,NaN,NaN,NaN
109,2,2,10,1,65,5,1,10,29,NaN,NaN
110,2,4,90,1,42,4,0,NaN,NaN,NaN,NaN
111,1,2,2,2,7,6,0,NaN,NaN,NaN,NaN
112,1,3,46,1,44,6,0,NaN,NaN,NaN,NaN
113,1,4,41,3,45,6,1,21,17,NaN,NaN
114,2,4,92,2,23,5,1,92,59,NaN,NaN
115,2,3,28,1,10,4,0,NaN,NaN,NaN,NaN
116,1,1,20,2,31,6,1,20,31,NaN,NaN
117,2,1,58,3,40,4,0,NaN,NaN,NaN,NaN
118,2,4,67,4,52,4,0,NaN,NaN,NaN,NaN
119,1,2,1,1,35,6,1,1,35,NaN,NaN
120,1,4,20,1,20,7,0,NaN,NaN,NaN,NaN
121,1,3,70,2,62,7,0,NaN,NaN,NaN,NaN
122,1,3,42,4,31,6,1,43,14,NaN,NaN
123,2,2,71,2,10,4,0,NaN,NaN,NaN,NaN
124,2,3,83,3,22,5,1,31,22,NaN,NaN
125,2,2,45,4,2,5,1,15,2,NaN,NaN
126,1,2,20,3,35,7,0,NaN,NaN,NaN,NaN
127,2,1,82,1,48,5,1,82,50,NaN,NaN
128,1,1,48,4,3,7,0,NaN,NaN,NaN,NaN
129,2,2,92,2,48,6,0,NaN,NaN,NaN,NaN
130,1,3,83,4,2,7,1,63,54,NaN,NaN
131,1,2,71,3,40,4,0,NaN,NaN,NaN,NaN
132,1,1,58,4,52,4,0,NaN,NaN,NaN,NaN
133,2,3,26,3,38,5,1,59,30,NaN,NaN
134,1,2,45,1,48,7,1,45,55,NaN,NaN
135,1,1,82,2,23,7,1,82,23,NaN,NaN
136,2,4,9,2,22,5,1,9,68,NaN,NaN
137,2,3,39,1,42,6,0,NaN,NaN,NaN,NaN
138,1,4,67,1,10,4,0,NaN,NaN,NaN,NaN
139,2,1,23,3,29,6,0,NaN,NaN,NaN,NaN
140,2,4,90,4,7,6,0,NaN,NaN,NaN,NaN
141,2,2,10,4,1,5,1,11,1,NaN,NaN
142,1,3,28,2,10,4,0,NaN,NaN,NaN,NaN
143,1,4,92,3,22,7,1,57,22,NaN,NaN
144,2,1,83,1,65,5,1,83,65,NaN,NaN
145,2,2,16,1,31,5,1,26,26,NaN,NaN
146,2,1,62,4,12,6,0,NaN,NaN,NaN,NaN
147,2,4,32,3,4,5,1,32,36,NaN,NaN
148,2,3,12,4,43,5,1,12,43,NaN,NaN
149,1,4,41,2,31,4,1,44,38,NaN,NaN
150,2,3,46,2,7,6,0,NaN,NaN,NaN,NaN
151,2,4,76,1,44,6,0,NaN,NaN,NaN,NaN
152,1,3,42,3,45,4,1,42,52,NaN,NaN
153,1,3,70,1,20,7,0,NaN,NaN,NaN,NaN
154,1,1,20,1,35,4,1,27,35,NaN,NaN
155,1,2,1,4,31,4,1,71,31,NaN,NaN
156,1,1,48,3,35,7,0,NaN,NaN,NaN,NaN
157,1,2,20,2,62,7,0,NaN,NaN,NaN,NaN
158,1,4,20,4,3,7,0,NaN,NaN,NaN,NaN
159,2,1,21,2,27,5,1,21,27,NaN,NaN
160,2,2,2,3,58,6,0,NaN,NaN,NaN,NaN
161,1,4,76,3,58,4,1,76,9,NaN,NaN
162,1,4,32,1,31,7,0,NaN,NaN,NaN,NaN
163,2,1,48,1,20,6,1,49,20,NaN,NaN
164,2,3,42,1,35,5,0,NaN,NaN,NaN,NaN
165,1,2,2,1,44,4,1,71,53,NaN,NaN
166,2,4,41,4,31,5,0,NaN,NaN,NaN,NaN
167,1,1,62,2,7,4,1,12,62,NaN,NaN
168,2,2,20,4,3,6,1,3,4,NaN,NaN
169,1,1,21,4,43,7,0,NaN,NaN,NaN,NaN
170,2,2,1,2,31,5,0,NaN,NaN,NaN,NaN
171,2,1,20,3,45,5,0,NaN,NaN,NaN,NaN
172,2,3,70,3,35,6,1,70,35,NaN,NaN
173,2,4,20,2,62,6,1,20,62,NaN,NaN
174,1,3,12,2,27,7,0,NaN,NaN,NaN,NaN
175,1,3,46,4,12,4,1,46,12,NaN,NaN
176,1,2,16,3,4,7,0,NaN,NaN,NaN,NaN
177,1,2,92,4,7,7,1,92,7,NaN,NaN
178,2,1,58,2,10,6,1,86,50,NaN,NaN
179,2,2,71,1,10,6,1,71,61,NaN,NaN
180,1,1,83,3,38,4,0,NaN,NaN,NaN,NaN
181,1,4,90,2,48,7,1,90,35,NaN,NaN
182,2,3,83,2,23,5,0,NaN,NaN,NaN,NaN
183,1,3,39,3,29,7,1,39,29,NaN,NaN
184,2,4,67,3,40,6,1,25,2,NaN,NaN
185,1,1,23,1,42,7,1,33,42,NaN,NaN
186,2,1,82,4,2,5,0,NaN,NaN,NaN,NaN
187,1,2,10,2,22,4,0,NaN,NaN,NaN,NaN
188,2,2,45,3,22,5,0,NaN,NaN,NaN,NaN
189,1,4,9,4,1,4,0,NaN,NaN,NaN,NaN
190,2,4,92,1,48,5,0,NaN,NaN,NaN,NaN
191,1,3,26,1,65,4,0,NaN,NaN,NaN,NaN
192,2,3,28,4,52,6,1,89,52,NaN,NaN
193,1,2,20,1,20,5,0,NaN,NaN,NaN,NaN
194,2,4,67,2,10,7,0,NaN,NaN,NaN,NaN
195,2,3,28,3,40,7,0,NaN,NaN,NaN,NaN
196,1,4,20,3,35,5,0,NaN,NaN,NaN,NaN
197,2,2,45,2,23,4,1,45,36,NaN,NaN
198,2,3,83,1,48,4,1,83,39,NaN,NaN
199,1,1,20,4,31,6,1,64,31,NaN,NaN
200,1,1,48,2,62,5,0,NaN,NaN,NaN,NaN
201,1,3,42,2,31,6,1,17,12,NaN,NaN
202,2,1,82,3,22,4,1,43,22,NaN,NaN
203,1,3,70,4,3,5,0,NaN,NaN,NaN,NaN
204,1,4,41,1,35,6,1,41,68,NaN,NaN
205,1,2,1,3,45,6,1,77,45,NaN,NaN
206,2,1,58,1,10,7,0,NaN,NaN,NaN,NaN
207,2,2,71,4,52,7,0,NaN,NaN,NaN,NaN
208,2,4,92,4,2,4,1,92,2,NaN,NaN
209,2,3,39,4,7,4,0,NaN,NaN,NaN,NaN
210,2,2,92,1,42,4,0,NaN,NaN,NaN,NaN
211,1,4,76,2,7,5,0,NaN,NaN,NaN,NaN
212,2,4,9,1,65,7,1,9,65,NaN,NaN
213,1,2,2,4,12,5,0,NaN,NaN,NaN,NaN
214,2,1,83,4,1,7,1,83,35,NaN,NaN
215,2,1,23,2,48,4,0,NaN,NaN,NaN,NaN
216,1,1,21,3,4,6,1,21,4,NaN,NaN
217,1,2,16,2,27,6,1,2,53,NaN,NaN
218,2,2,10,3,38,7,1,14,47,NaN,NaN
219,2,4,90,3,29,4,0,NaN,NaN,NaN,NaN
220,1,1,62,1,44,5,0,NaN,NaN,NaN,NaN
221,1,4,32,4,43,6,1,30,43,NaN,NaN
222,1,3,12,1,31,6,1,69,9,NaN,NaN
223,1,3,46,3,58,5,0,NaN,NaN,NaN,NaN
224,2,3,26,2,22,7,1,26,22,NaN,NaN
225,1,1,23,4,7,5,1,81,11,NaN,NaN
226,2,2,16,4,43,4,0,NaN,NaN,NaN,NaN
227,1,4,9,3,38,6,0,NaN,NaN,NaN,NaN
228,2,1,21,1,31,4,0,NaN,NaN,NaN,NaN
229,2,3,12,3,4,4,0,NaN,NaN,NaN,NaN
230,2,3,46,1,44,7,1,46,8,NaN,NaN
