TrialNumber,Cue,FaceCategory,FaceExemplar,SceneCategory,SceneExemplar,ITI,TestPresence,FaceChange,SceneChange,Response,ReactionTime
1,2,3,28,2,10,7,1,28,12,NaN,NaN
2,1,1,83,1,65,4,0,NaN,NaN,NaN,NaN
3,1,4,9,2,22,4,0,NaN,NaN,NaN,NaN
4,1,3,26,3,38,4,0,NaN,NaN,NaN,NaN
5,2,2,45,1,48,6,0,NaN,NaN,NaN,NaN
6,1,2,92,2,48,5,1,21,39,NaN,NaN
7,2,1,82,2,23,6,0,NaN,NaN,NaN,NaN
8,2,4,67,1,10,7,1,67,48,NaN,NaN
9,2,2,71,3,40,7,1,55,40,NaN,NaN
10,1,2,10,4,1,4,0,NaN,NaN,NaN,NaN
11,1,4,90,4,7,5,1,90,7,NaN,NaN
12,2,3,83,4,2,6,0,NaN,NaN,NaN,NaN
13,2,1,58,4,52,7,1,14,55,NaN,NaN
14,1,3,39,1,42,5,1,10,42,NaN,NaN
15,1,1,23,3,29,5,1,23,29,NaN,NaN
16,2,4,92,3,22,6,0,NaN,NaN,NaN,NaN
17,1,4,76,1,44,5,1,76,44,NaN,NaN
18,1,2,2,3,58,5,1,50,58,NaN,NaN
19,1,4,32,3,4,4,0,NaN,NaN,NaN,NaN
20,2,1,20,1,35,7,0,NaN,NaN,NaN,NaN
21,2,3,42,3,45,7,0,NaN,NaN,NaN,NaN
22,1,2,16,1,31,4,0,NaN,NaN,NaN,NaN
23,2,2,1,4,31,7,0,NaN,NaN,NaN,NaN
24,1,3,46,2,7,5,1,5,55,NaN,NaN
25,2,3,70,1,20,6,1,32,1,NaN,NaN
26,2,4,41,2,31,7,0,NaN,NaN,NaN,NaN
27,1,3,12,4,43,4,0,NaN,NaN,NaN,NaN
28,1,1,21,2,27,4,0,NaN,NaN,NaN,NaN
29,1,1,62,4,12,5,1,31,27,NaN,NaN
30,2,4,20,4,3,6,1,20,20,NaN,NaN
31,2,2,20,2,62,6,1,20,62,NaN,NaN
32,2,1,48,3,35,6,1,48,35,NaN,NaN
33,2,3,46,4,12,7,0,NaN,NaN,NaN,NaN
34,1,1,48,1,20,5,0,NaN,NaN,NaN,NaN
35,2,4,32,1,31,6,1,86,41,NaN,NaN
36,1,2,1,2,31,4,1,1,31,NaN,NaN
37,2,3,12,2,27,6,1,50,27,NaN,NaN
38,2,2,2,1,44,7,0,NaN,NaN,NaN,NaN
39,2,2,16,3,4,6,1,16,4,NaN,NaN
40,1,3,42,1,35,4,1,20,12,NaN,NaN
41,2,4,76,3,58,7,0,NaN,NaN,NaN,NaN
42,1,1,20,3,45,4,1,20,45,NaN,NaN
43,1,2,20,4,3,5,0,NaN,NaN,NaN,NaN
44,2,1,21,4,43,6,1,84,42,NaN,NaN
45,1,4,41,4,31,4,1,41,34,NaN,NaN
