TrialNumber,Cue,FaceCategory,FaceExemplar,SceneCategory,SceneExemplar,ITI,TestPresence,FaceChange,SceneChange,Response,ReactionTime
1,1,4,90,4,7,5,1,90,28,NaN,NaN
2,1,1,23,3,29,5,1,23,29,NaN,NaN
3,2,4,67,1,10,7,1,67,18,NaN,NaN
4,1,1,83,1,65,4,0,NaN,NaN,NaN,NaN
5,2,1,58,4,52,7,1,75,52,NaN,NaN
6,2,3,28,2,10,7,1,87,10,NaN,NaN
7,2,2,45,1,48,6,0,NaN,NaN,NaN,NaN
8,1,2,10,4,1,4,0,NaN,NaN,NaN,NaN
9,2,1,82,2,23,6,0,NaN,NaN,NaN,NaN
10,1,3,39,1,42,5,1,39,24,NaN,NaN
11,2,2,71,3,40,7,1,50,40,NaN,NaN
12,1,4,9,2,22,4,0,NaN,NaN,NaN,NaN
13,1,2,92,2,48,5,1,12,64,NaN,NaN
14,1,3,26,3,38,4,0,NaN,NaN,NaN,NaN
15,2,3,83,4,2,6,0,NaN,NaN,NaN,NaN
16,2,4,92,3,22,6,0,NaN,NaN,NaN,NaN
17,2,4,20,4,3,6,1,39,3,NaN,NaN
18,2,3,42,3,45,7,0,NaN,NaN,NaN,NaN
19,2,2,1,4,31,7,0,NaN,NaN,NaN,NaN
20,1,4,76,1,44,5,1,69,45,NaN,NaN
21,1,2,2,3,58,5,1,2,46,NaN,NaN
22,2,2,20,2,62,6,1,20,62,NaN,NaN
23,1,3,12,4,43,4,0,NaN,NaN,NaN,NaN
24,2,1,48,3,35,6,1,65,35,NaN,NaN
25,1,2,16,1,31,4,0,NaN,NaN,NaN,NaN
26,2,4,41,2,31,7,0,NaN,NaN,NaN,NaN
27,1,4,32,3,4,4,0,NaN,NaN,NaN,NaN
28,2,1,20,1,35,7,0,NaN,NaN,NaN,NaN
29,1,1,21,2,27,4,0,NaN,NaN,NaN,NaN
30,2,3,70,1,20,6,1,43,20,NaN,NaN
31,1,1,62,4,12,5,1,62,10,NaN,NaN
32,1,3,46,2,7,5,1,46,12,NaN,NaN
33,2,2,16,3,4,6,1,16,56,NaN,NaN
34,2,1,21,4,43,6,1,29,43,NaN,NaN
35,2,4,76,3,58,7,0,NaN,NaN,NaN,NaN
36,1,1,20,3,45,4,1,81,3,NaN,NaN
37,2,3,12,2,27,6,1,12,1,NaN,NaN
38,2,2,2,1,44,7,0,NaN,NaN,NaN,NaN
39,1,4,20,2,62,5,0,NaN,NaN,NaN,NaN
40,1,4,41,4,31,4,1,41,31,NaN,NaN
