TrialNumber,Cue,FaceCategory,FaceExemplar,SceneCategory,SceneExemplar,ITI,TestPresence,FaceChange,SceneChange,Response,ReactionTime
92,2,4,32,4,43,5,0,NaN,NaN,NaN,NaN
93,1,3,26,2,22,6,0,NaN,NaN,NaN,NaN
94,1,4,9,1,65,6,0,NaN,NaN,NaN,NaN
95,2,3,12,1,31,5,0,NaN,NaN,NaN,NaN
96,1,2,10,3,38,6,0,NaN,NaN,NaN,NaN
97,2,2,92,3,29,4,0,NaN,NaN,NaN,NaN
98,1,3,46,1,44,6,0,NaN,NaN,NaN,NaN
99,1,2,16,4,43,7,1,16,43,NaN,NaN
100,2,4,9,3,38,5,1,9,15,NaN,NaN
101,2,1,83,2,22,5,1,83,54,NaN,NaN
102,2,2,10,1,65,5,1,10,65,NaN,NaN
103,2,3,26,4,1,5,1,23,11,NaN,NaN
104,1,1,21,1,31,7,1,98,12,NaN,NaN
105,2,1,23,4,7,4,0,NaN,NaN,NaN,NaN
106,1,4,32,2,27,7,1,41,27,NaN,NaN
107,1,2,2,2,7,6,0,NaN,NaN,NaN,NaN
108,1,1,62,3,58,6,0,NaN,NaN,NaN,NaN
109,2,4,90,1,42,4,0,NaN,NaN,NaN,NaN
110,1,3,12,3,4,7,1,28,4,NaN,NaN
111,2,3,39,2,48,4,0,NaN,NaN,NaN,NaN
112,1,4,76,4,12,6,0,NaN,NaN,NaN,NaN
113,2,3,83,3,22,5,1,83,8,NaN,NaN
114,2,2,45,4,2,5,1,33,2,NaN,NaN
115,1,2,20,3,35,7,0,NaN,NaN,NaN,NaN
116,1,2,1,1,35,6,1,1,35,NaN,NaN
117,2,1,82,1,48,5,1,82,48,NaN,NaN
118,1,3,70,2,62,7,0,NaN,NaN,NaN,NaN
119,2,4,67,4,52,4,0,NaN,NaN,NaN,NaN
120,2,3,28,1,10,4,0,NaN,NaN,NaN,NaN
121,1,3,42,4,31,6,1,42,37,NaN,NaN
122,1,1,48,4,3,7,0,NaN,NaN,NaN,NaN
123,2,2,71,2,10,4,0,NaN,NaN,NaN,NaN
124,1,1,20,2,31,6,1,62,5,NaN,NaN
125,2,1,58,3,40,4,0,NaN,NaN,NaN,NaN
126,2,4,92,2,23,5,1,33,20,NaN,NaN
127,1,4,20,1,20,7,0,NaN,NaN,NaN,NaN
128,1,4,41,3,45,6,1,35,45,NaN,NaN
129,1,1,58,4,52,4,0,NaN,NaN,NaN,NaN
130,1,4,92,3,22,7,1,92,35,NaN,NaN
131,1,2,71,3,40,4,0,NaN,NaN,NaN,NaN
132,2,1,23,3,29,6,0,NaN,NaN,NaN,NaN
133,1,4,67,1,10,4,0,NaN,NaN,NaN,NaN
134,2,4,90,4,7,6,0,NaN,NaN,NaN,NaN
135,1,2,45,1,48,7,1,45,22,NaN,NaN
136,2,1,83,1,65,5,1,83,20,NaN,NaN
137,2,4,9,2,22,5,1,37,22,NaN,NaN
138,1,1,82,2,23,7,1,79,53,NaN,NaN
139,2,3,39,1,42,6,0,NaN,NaN,NaN,NaN
140,2,3,26,3,38,5,1,26,38,NaN,NaN
141,2,2,92,2,48,6,0,NaN,NaN,NaN,NaN
142,1,3,28,2,10,4,0,NaN,NaN,NaN,NaN
143,1,3,83,4,2,7,1,88,2,NaN,NaN
144,2,2,10,4,1,5,1,62,1,NaN,NaN
145,2,4,32,3,4,5,1,32,15,NaN,NaN
146,2,3,12,4,43,5,1,75,43,NaN,NaN
147,2,3,46,2,7,6,0,NaN,NaN,NaN,NaN
148,2,2,16,1,31,5,1,78,31,NaN,NaN
149,1,3,70,1,20,7,0,NaN,NaN,NaN,NaN
150,1,1,48,3,35,7,0,NaN,NaN,NaN,NaN
151,1,3,42,3,45,4,1,31,44,NaN,NaN
152,2,2,2,3,58,6,0,NaN,NaN,NaN,NaN
153,2,1,62,4,12,6,0,NaN,NaN,NaN,NaN
154,2,1,21,2,27,5,1,80,55,NaN,NaN
155,1,2,20,2,62,7,0,NaN,NaN,NaN,NaN
156,1,1,20,1,35,4,1,20,35,NaN,NaN
157,1,2,1,4,31,4,1,1,31,NaN,NaN
158,1,4,20,4,3,7,0,NaN,NaN,NaN,NaN
159,1,4,41,2,31,4,1,41,67,NaN,NaN
160,2,4,76,1,44,6,0,NaN,NaN,NaN,NaN
161,1,2,2,1,44,4,1,43,44,NaN,NaN
162,1,4,32,1,31,7,0,NaN,NaN,NaN,NaN
163,2,3,42,1,35,5,0,NaN,NaN,NaN,NaN
164,1,3,46,4,12,4,1,46,12,NaN,NaN
165,2,4,20,2,62,6,1,82,12,NaN,NaN
166,1,1,21,4,43,7,0,NaN,NaN,NaN,NaN
167,1,2,16,3,4,7,0,NaN,NaN,NaN,NaN
168,1,1,62,2,7,4,1,62,24,NaN,NaN
169,2,1,48,1,20,6,1,73,20,NaN,NaN
170,2,2,1,2,31,5,0,NaN,NaN,NaN,NaN
171,2,4,41,4,31,5,0,NaN,NaN,NaN,NaN
172,2,2,20,4,3,6,1,20,47,NaN,NaN
173,2,1,20,3,45,5,0,NaN,NaN,NaN,NaN
174,1,4,76,3,58,4,1,28,39,NaN,NaN
175,1,3,12,2,27,7,0,NaN,NaN,NaN,NaN
176,2,3,70,3,35,6,1,70,35,NaN,NaN
177,2,2,45,3,22,5,0,NaN,NaN,NaN,NaN
178,1,1,83,3,38,4,0,NaN,NaN,NaN,NaN
179,1,3,39,3,29,7,1,39,29,NaN,NaN
180,1,2,92,4,7,7,1,23,7,NaN,NaN
181,2,1,82,4,2,5,0,NaN,NaN,NaN,NaN
182,2,4,92,1,48,5,0,NaN,NaN,NaN,NaN
183,1,4,90,2,48,7,1,46,54,NaN,NaN
184,1,3,26,1,65,4,0,NaN,NaN,NaN,NaN
185,2,2,71,1,10,6,1,71,44,NaN,NaN
186,2,1,58,2,10,6,1,78,28,NaN,NaN
187,1,4,9,4,1,4,0,NaN,NaN,NaN,NaN
188,1,2,10,2,22,4,0,NaN,NaN,NaN,NaN
189,2,3,28,4,52,6,1,54,52,NaN,NaN
190,2,3,83,2,23,5,0,NaN,NaN,NaN,NaN
191,2,4,67,3,40,6,1,67,36,NaN,NaN
192,1,1,23,1,42,7,1,23,42,NaN,NaN
193,1,3,70,4,3,5,0,NaN,NaN,NaN,NaN
194,1,2,20,1,20,5,0,NaN,NaN,NaN,NaN
195,1,1,20,4,31,6,1,20,53,NaN,NaN
196,2,2,71,4,52,7,0,NaN,NaN,NaN,NaN
197,1,1,48,2,62,5,0,NaN,NaN,NaN,NaN
198,2,1,58,1,10,7,0,NaN,NaN,NaN,NaN
199,1,4,20,3,35,5,0,NaN,NaN,NaN,NaN
200,1,2,1,3,45,6,1,1,45,NaN,NaN
201,2,3,83,1,48,4,1,9,57,NaN,NaN
202,1,3,42,2,31,6,1,42,14,NaN,NaN
203,2,2,45,2,23,4,1,50,23,NaN,NaN
204,2,3,28,3,40,7,0,NaN,NaN,NaN,NaN
205,1,4,41,1,35,6,1,42,35,NaN,NaN
206,2,4,92,4,2,4,1,65,2,NaN,NaN
207,2,1,82,3,22,4,1,82,64,NaN,NaN
208,2,4,67,2,10,7,0,NaN,NaN,NaN,NaN
209,2,2,92,1,42,4,0,NaN,NaN,NaN,NaN
210,1,4,76,2,7,5,0,NaN,NaN,NaN,NaN
211,2,1,83,4,1,7,1,83,23,NaN,NaN
212,2,4,9,1,65,7,1,69,65,NaN,NaN
213,1,1,62,1,44,5,0,NaN,NaN,NaN,NaN
214,1,3,12,1,31,6,1,35,31,NaN,NaN
215,1,1,21,3,4,6,1,21,16,NaN,NaN
216,2,4,90,3,29,4,0,NaN,NaN,NaN,NaN
217,2,1,23,2,48,4,0,NaN,NaN,NaN,NaN
218,1,2,2,4,12,5,0,NaN,NaN,NaN,NaN
219,2,3,26,2,22,7,1,26,22,NaN,NaN
220,1,2,16,2,27,6,1,8,27,NaN,NaN
221,2,2,10,3,38,7,1,10,12,NaN,NaN
222,1,3,46,3,58,5,0,NaN,NaN,NaN,NaN
223,2,3,39,4,7,4,0,NaN,NaN,NaN,NaN
224,1,4,32,4,43,6,1,89,37,NaN,NaN
225,1,3,26,4,1,6,0,NaN,NaN,NaN,NaN
226,1,2,92,3,29,5,1,85,29,NaN,NaN
227,1,3,39,2,48,5,1,39,48,NaN,NaN
228,2,1,62,3,58,7,1,62,12,NaN,NaN
229,1,2,10,1,65,6,0,NaN,NaN,NaN,NaN
230,2,1,21,1,31,4,0,NaN,NaN,NaN,NaN
231,1,1,23,4,7,5,1,23,30,NaN,NaN
232,2,2,2,2,7,7,1,2,3,NaN,NaN
233,2,4,32,2,27,4,0,NaN,NaN,NaN,NaN
234,2,2,16,4,43,4,0,NaN,NaN,NaN,NaN
235,1,4,90,1,42,5,1,33,42,NaN,NaN
236,2,4,76,4,12,7,1,65,44,NaN,NaN
237,2,3,46,1,44,7,1,57,44,NaN,NaN
238,1,4,9,3,38,6,0,NaN,NaN,NaN,NaN
239,1,1,83,2,22,6,0,NaN,NaN,NaN,NaN
240,2,3,12,3,4,4,0,NaN,NaN,NaN,NaN
241,2,1,48,4,3,4,1,48,3,NaN,NaN
242,2,4,20,1,20,4,1,51,20,NaN,NaN
243,1,2,71,2,10,5,1,71,29,NaN,NaN
244,2,4,41,3,45,7,0,NaN,NaN,NaN,NaN
245,1,1,82,1,48,6,0,NaN,NaN,NaN,NaN
246,1,2,45,4,2,6,0,NaN,NaN,NaN,NaN
247,2,1,20,2,31,7,0,NaN,NaN,NaN,NaN
248,1,4,92,2,23,6,0,NaN,NaN,NaN,NaN
249,1,1,58,3,40,5,1,58,20,NaN,NaN
250,2,3,42,4,31,7,0,NaN,NaN,NaN,NaN
251,2,2,20,3,35,4,1,20,35,NaN,NaN
252,1,3,83,3,22,6,0,NaN,NaN,NaN,NaN
253,2,3,70,2,62,4,1,19,26,NaN,NaN
254,1,4,67,4,52,5,1,91,52,NaN,NaN
255,1,3,28,1,10,5,1,2,41,NaN,NaN
256,2,2,1,1,35,7,0,NaN,NaN,NaN,NaN
257,1,1,23,3,29,7,0,NaN,NaN,NaN,NaN
258,2,4,92,3,22,4,1,31,22,NaN,NaN
259,2,1,82,2,23,4,1,82,23,NaN,NaN
260,2,1,58,4,52,5,0,NaN,NaN,NaN,NaN
261,2,4,67,1,10,5,0,NaN,NaN,NaN,NaN
262,1,2,92,2,48,7,0,NaN,NaN,NaN,NaN
263,1,1,83,1,65,6,1,87,65,NaN,NaN
264,1,2,10,4,1,6,1,10,59,NaN,NaN
265,2,3,83,4,2,4,1,83,25,NaN,NaN
266,1,3,39,1,42,7,0,NaN,NaN,NaN,NaN
267,2,3,28,2,10,5,0,NaN,NaN,NaN,NaN
268,1,4,9,2,22,6,1,9,43,NaN,NaN
269,2,2,45,1,48,4,1,52,48,NaN,NaN
270,1,4,90,4,7,7,0,NaN,NaN,NaN,NaN
271,2,2,71,3,40,5,0,NaN,NaN,NaN,NaN
272,1,3,26,3,38,6,1,22,36,NaN,NaN
273,2,1,48,3,35,4,0,NaN,NaN,NaN,NaN
274,1,3,46,2,7,7,0,NaN,NaN,NaN,NaN
275,1,2,2,3,58,7,0,NaN,NaN,NaN,NaN
276,1,3,12,4,43,6,1,12,36,NaN,NaN
277,2,2,1,4,31,5,1,5,5,NaN,NaN
278,1,4,32,3,4,6,1,73,4,NaN,NaN
279,2,1,20,1,35,5,1,50,45,NaN,NaN
280,2,4,41,2,31,5,1,67,31,NaN,NaN
281,2,3,42,3,45,5,1,42,45,NaN,NaN
282,1,1,62,4,12,7,0,NaN,NaN,NaN,NaN
283,1,1,21,2,27,6,1,21,27,NaN,NaN
284,2,2,20,2,62,4,0,NaN,NaN,NaN,NaN
285,2,3,70,1,20,4,0,NaN,NaN,NaN,NaN
286,1,4,76,1,44,7,0,NaN,NaN,NaN,NaN
287,2,4,20,4,3,4,0,NaN,NaN,NaN,NaN
288,1,2,16,1,31,6,1,16,42,NaN,NaN
289,2,3,12,2,27,4,0,NaN,NaN,NaN,NaN
290,2,3,46,4,12,5,1,4,9,NaN,NaN
291,2,4,76,3,58,5,1,76,58,NaN,NaN
292,1,1,20,3,45,6,0,NaN,NaN,NaN,NaN
293,2,1,21,4,43,4,0,NaN,NaN,NaN,NaN
294,1,2,1,2,31,6,0,NaN,NaN,NaN,NaN
295,1,3,42,1,35,6,0,NaN,NaN,NaN,NaN
296,1,4,41,4,31,6,0,NaN,NaN,NaN,NaN
297,1,4,20,2,62,7,1,20,62,NaN,NaN
298,1,3,70,3,35,7,1,9,19,NaN,NaN
299,1,2,20,4,3,7,1,90,3,NaN,NaN
300,2,4,32,1,31,4,0,NaN,NaN,NaN,NaN
301,2,1,62,2,7,5,1,22,7,NaN,NaN
302,2,2,16,3,4,4,0,NaN,NaN,NaN,NaN
303,1,1,48,1,20,7,1,48,36,NaN,NaN
304,2,2,2,1,44,5,1,2,67,NaN,NaN
305,1,1,82,4,2,6,0,NaN,NaN,NaN,NaN
306,2,1,83,3,38,5,0,NaN,NaN,NaN,NaN
307,2,4,9,4,1,5,0,NaN,NaN,NaN,NaN
308,1,2,45,3,22,6,0,NaN,NaN,NaN,NaN
309,1,4,67,3,40,7,1,48,40,NaN,NaN
310,2,2,10,2,22,5,0,NaN,NaN,NaN,NaN
311,2,3,39,3,29,4,1,33,64,NaN,NaN
312,1,1,58,2,10,7,1,58,10,NaN,NaN
313,1,2,71,1,10,7,1,75,10,NaN,NaN
314,2,4,90,2,48,4,1,90,48,NaN,NaN
315,1,3,83,2,23,6,0,NaN,NaN,NaN,NaN
316,1,3,28,4,52,7,1,28,19,NaN,NaN
317,1,4,92,1,48,6,0,NaN,NaN,NaN,NaN
318,2,2,92,4,7,4,1,92,44,NaN,NaN
319,2,1,23,1,42,4,1,62,61,NaN,NaN
320,2,3,26,1,65,5,0,NaN,NaN,NaN,NaN
321,2,3,42,2,31,7,1,28,31,NaN,NaN
322,1,4,92,4,2,5,1,92,4,NaN,NaN
323,2,4,41,1,35,7,1,41,28,NaN,NaN
324,1,4,67,2,10,4,0,NaN,NaN,NaN,NaN
325,1,1,82,3,22,5,1,89,22,NaN,NaN
326,1,3,83,1,48,5,1,83,48,NaN,NaN
327,1,1,58,1,10,4,0,NaN,NaN,NaN,NaN
328,2,4,20,3,35,6,0,NaN,NaN,NaN,NaN
329,1,3,28,3,40,4,0,NaN,NaN,NaN,NaN
330,2,2,20,1,20,6,0,NaN,NaN,NaN,NaN
331,2,2,1,3,45,7,1,18,48,NaN,NaN
332,2,1,20,4,31,7,1,12,31,NaN,NaN
333,1,2,45,2,23,5,1,45,27,NaN,NaN
334,1,2,71,4,52,4,0,NaN,NaN,NaN,NaN
335,2,3,70,4,3,6,0,NaN,NaN,NaN,NaN
336,2,1,48,2,62,6,0,NaN,NaN,NaN,NaN
337,1,3,39,4,7,5,0,NaN,NaN,NaN,NaN
338,2,4,32,4,43,7,1,32,43,NaN,NaN
339,2,3,46,3,58,6,0,NaN,NaN,NaN,NaN
340,1,3,26,2,22,4,1,82,65,NaN,NaN
341,1,2,10,3,38,4,1,38,38,NaN,NaN
342,2,3,12,1,31,7,1,12,19,NaN,NaN
343,2,1,21,3,4,7,1,55,4,NaN,NaN
344,2,2,2,4,12,6,0,NaN,NaN,NaN,NaN
345,1,1,83,4,1,4,1,67,1,NaN,NaN
346,2,1,62,1,44,6,0,NaN,NaN,NaN,NaN
347,1,1,23,2,48,5,0,NaN,NaN,NaN,NaN
348,2,4,76,2,7,6,0,NaN,NaN,NaN,NaN
349,1,4,9,1,65,4,1,9,26,NaN,NaN
350,2,2,16,2,27,7,1,16,47,NaN,NaN
351,1,4,90,3,29,5,0,NaN,NaN,NaN,NaN
352,1,2,92,1,42,5,0,NaN,NaN,NaN,NaN
