ROI,Race_Accuracy,Race_p_value,Race_z_value,Sex_Accuracy,Sex_p_value,Sex_z_value,Naturalness_Accuracy,Naturalness_p_value,Naturalness_z_value,Openness_Accuracy,Openness_p_value,Openness_z_value
V1,0.46484375,0.915,-1.339695607403908,0.548828125,0.034,1.7553921044901772,0.533203125,0.13,1.193872945836364,0.48828125,0.671,-0.41615423932994183
"V2, V3 & V4",0.466796875,0.907,-1.2501352066628397,0.53515625,0.09,1.3171313385663668,0.607421875,0.0,3.996396262045521,0.49609375,0.568,-0.1681222071609407
DorsalVisual,0.49609375,0.597,-0.21333829348401934,0.44921875,0.974,-1.885086050571356,0.4921875,0.632,-0.3002687237648026,0.513671875,0.286,0.5761984640658522
VentralVisual,0.48828125,0.656,-0.37338062609177014,0.51171875,0.338,0.44946353422952523,0.537109375,0.109,1.299592110144034,0.46875,0.881,-1.1621466829865428
MT+Complex,0.53515625,0.099,1.3157600509401495,0.5234375,0.211,0.8848035071393219,0.568359375,0.007,2.545787268744089,0.544921875,0.051,1.7313925078282626
Somatosensory & Motor,0.46484375,0.922,-1.3179185654262702,0.498046875,0.535,-0.052503269390116625,0.53515625,0.104,1.260653577306045,0.560546875,0.011,2.2529668497062443
Paracentral & MidCingulate,0.482421875,0.758,-0.6733446975504831,0.544921875,0.044,1.7085849648652376,0.5703125,0.005,2.631987813829195,0.50390625,0.453,0.14216853305974203
Premotor,0.517578125,0.284,0.6118531387641812,0.498046875,0.546,-0.10617729681349068,0.525390625,0.175,0.9539199209140418,0.537109375,0.089,1.3774311105615642
PosteriorOpercular,0.5234375,0.181,0.9504157512798618,0.49609375,0.561,-0.15253972304535562,0.466796875,0.885,-1.1546446333591682,0.515625,0.305,0.591161434476213
EarlyAuditory,0.51171875,0.327,0.46005368294567067,0.47265625,0.867,-1.043594051054651,0.478515625,0.786,-0.7771748492908727,0.50390625,0.451,0.125343200932907
AuditoryAssociation,0.484375,0.736,-0.5474139834481112,0.48828125,0.692,-0.4572092884452099,0.494140625,0.614,-0.22716666627253243,0.53125,0.135,1.1431597888867397
Insular & FrontoOpercular,0.447265625,0.983,-1.9370490831268554,0.470703125,0.867,-1.0828296147971441,0.521484375,0.24,0.7480300422778027,0.486328125,0.715,-0.5117867012222463
MedialTemporal,0.474609375,0.817,-0.8944627075839949,0.4921875,0.617,-0.27743874481360575,0.55078125,0.043,1.8225513069470198,0.533203125,0.105,1.2065509850394458
LateralTemporal,0.50390625,0.426,0.21775111364334115,0.5078125,0.372,0.34775477285285605,0.552734375,0.027,1.9880157589386944,0.494140625,0.609,-0.20990876133657732
TPOJ,0.4921875,0.624,-0.27938527473909663,0.494140625,0.6,-0.2193606186055576,0.572265625,0.005,2.7327116245873864,0.47265625,0.842,-0.99307660420353
SuperiorParietal,0.470703125,0.853,-1.0094146106071498,0.470703125,0.875,-1.1084176822020202,0.517578125,0.267,0.653616838513952,0.525390625,0.182,0.953316316104023
InferiorParietal,0.482421875,0.764,-0.6571191845631681,0.49609375,0.565,-0.13592337010719818,0.556640625,0.015,2.2390286602574583,0.52734375,0.15,1.0483853861545986
PosteriorCingulate,0.48828125,0.678,-0.43844747283028623,0.455078125,0.945,-1.646311730160732,0.56640625,0.009,2.4432384437044683,0.5234375,0.224,0.8480554015488975
ACC & MPFC,0.51953125,0.245,0.7012015177128961,0.474609375,0.832,-0.9168676992693212,0.517578125,0.304,0.567114793280561,0.54296875,0.057,1.6121271544676554
Orbital & PolarFrontal,0.501953125,0.486,0.04490806476698403,0.533203125,0.106,1.2550894467037772,0.53125,0.113,1.2148268010742902,0.5078125,0.406,0.31888695916623727
InferoirFrontal,0.5078125,0.38,0.3200848010850294,0.4921875,0.636,-0.33646071485230433,0.513671875,0.308,0.5383519828850182,0.4921875,0.637,-0.29943018227107643
DLPFC,0.509765625,0.336,0.45002532393124767,0.51953125,0.256,0.6796327248234341,0.53515625,0.105,1.280557217153312,0.486328125,0.699,-0.4908212961390297
