ROI,Face_Accuracy,Face_p_value,Face_z_value,Scene_Accuracy,Scene_p_value,Scene_z_value
V1,0.23046875,0.827,-0.882083524576854,0.37890625,0.0,5.890028450968149
"V2, V3 & V4",0.2578125,0.383,0.28600665754385457,0.412109375,0.0,7.598928087752588
DorsalVisual,0.244140625,0.623,-0.28366685001027553,0.458984375,0.0,9.653953175211965
VentralVisual,0.251953125,0.466,0.10078595284146258,0.5390625,0.0,12.660126445713583
MT+Complex,0.2734375,0.14,1.0944663987185919,0.490234375,0.0,10.96898420833252
Somatosensory & Motor,0.2109375,0.97,-1.8506390073410666,0.275390625,0.134,1.1659046644574524
Paracentral & MidCingulate,0.24609375,0.588,-0.17396337026738934,0.28125,0.097,1.386938626104854
Premotor,0.23828125,0.721,-0.5595124620479276,0.333984375,0.0,3.9231472359458928
PosteriorOpercular,0.259765625,0.321,0.49272281504196475,0.271484375,0.18,0.9509484292832386
EarlyAuditory,0.23046875,0.828,-0.9127751910819968,0.2890625,0.047,1.75531502632488
AuditoryAssociation,0.23828125,0.726,-0.5736683879953728,0.287109375,0.061,1.6044169063625655
Insular & FrontoOpercular,0.25,0.526,-0.04467231851122457,0.25390625,0.427,0.24847305505728234
MedialTemporal,0.228515625,0.858,-0.9771243252454392,0.369140625,0.0,5.499245667729114
LateralTemporal,0.2578125,0.382,0.30612120704097034,0.341796875,0.0,4.23388567598712
TPOJ,0.232421875,0.808,-0.834138216022447,0.359375,0.0,4.890982191173165
SuperiorParietal,0.2265625,0.884,-1.1417387333589768,0.384765625,0.0,6.165384965030925
InferiorParietal,0.2421875,0.652,-0.38539065880665924,0.34375,0.0,4.434122500223193
PosteriorCingulate,0.24609375,0.597,-0.18892238811751008,0.376953125,0.0,6.026320881889742
ACC & MPFC,0.240234375,0.672,-0.4018247625491231,0.30859375,0.003,2.779068729293325
Orbital & PolarFrontal,0.244140625,0.629,-0.28836066354477147,0.205078125,0.988,-2.1604161956428665
InferoirFrontal,0.25,0.53,-0.015417214310818866,0.298828125,0.014,2.247130056365124
DLPFC,0.28515625,0.057,1.6625954466073223,0.302734375,0.006,2.5338463309079153
