ROI,Race_Accuracy,Race_p_value,Race_z_value,Sex_Accuracy,Sex_p_value,Sex_z_value,Naturalness_Accuracy,Naturalness_p_value,Naturalness_z_value,Openness_Accuracy,Openness_p_value,Openness_z_value
V1,0.51953125,0.242,0.7112840751619676,0.51953125,0.254,0.7091713020089545,0.5234375,0.191,0.919090183527365,0.53515625,0.086,1.4010653275503704
"V2, V3 & V4",0.51171875,0.324,0.4829807929447689,0.50390625,0.447,0.17243674382878502,0.564453125,0.007,2.597242678979036,0.572265625,0.003,2.7219004728186156
DorsalVisual,0.470703125,0.885,-1.1569388370659017,0.486328125,0.69,-0.49907429765981354,0.552734375,0.028,1.9943366835207708,0.509765625,0.356,0.42976153993144606
VentralVisual,0.517578125,0.238,0.6756839041017014,0.447265625,0.983,-2.056797185035153,0.587890625,0.0,3.3645798537255143,0.509765625,0.374,0.3659938630754477
MT+Complex,0.505859375,0.46,0.1751371144534009,0.521484375,0.213,0.8593110543530026,0.58203125,0.0,3.115236642118102,0.478515625,0.795,-0.8080288600786865
Somatosensory & Motor,0.525390625,0.179,0.9536586862659394,0.47265625,0.85,-0.9931975424314693,0.48046875,0.799,-0.7971477072667171,0.486328125,0.722,-0.5531662590211804
Paracentral & MidCingulate,0.5234375,0.195,0.8752952242863609,0.46875,0.879,-1.1380423377374775,0.490234375,0.673,-0.3960921418173651,0.52734375,0.152,1.067878519299834
Premotor,0.51171875,0.354,0.3927166607244049,0.51953125,0.247,0.7429060454292558,0.517578125,0.255,0.6642216833542991,0.498046875,0.582,-0.09948410889860904
PosteriorOpercular,0.513671875,0.295,0.5510088139729418,0.49609375,0.569,-0.1388286982666336,0.455078125,0.962,-1.7434614095537566,0.4453125,0.977,-2.061593492064593
EarlyAuditory,0.525390625,0.164,0.9995783333033842,0.509765625,0.363,0.3682969190053335,0.49609375,0.572,-0.13788996692701821,0.505859375,0.433,0.24020920980952398
AuditoryAssociation,0.5078125,0.372,0.33040616142303775,0.509765625,0.369,0.37200163721826435,0.482421875,0.772,-0.6743504874375721,0.45703125,0.949,-1.5728618098261615
Insular & FrontoOpercular,0.4921875,0.645,-0.3078072219705975,0.48046875,0.787,-0.7574346102835909,0.59375,0.0,3.4903442417000226,0.46484375,0.918,-1.368585276378781
MedialTemporal,0.478515625,0.784,-0.7507284870163385,0.51953125,0.222,0.8237023974065364,0.615234375,0.0,4.62714050144693,0.451171875,0.976,-1.9286131486775961
LateralTemporal,0.5390625,0.067,1.4876923580665664,0.47265625,0.88,-1.1391261274378541,0.52734375,0.149,1.0797855761145025,0.515625,0.27,0.6277156290542651
TPOJ,0.46484375,0.904,-1.3121986540990143,0.517578125,0.246,0.6843078839856475,0.431640625,0.998,-2.626777600503841,0.49609375,0.566,-0.14480226381671524
SuperiorParietal,0.56640625,0.007,2.5673779616282135,0.498046875,0.544,-0.08727337504163925,0.55859375,0.014,2.2802591133940684,0.5,0.529,-0.03589946523429857
InferiorParietal,0.513671875,0.338,0.4978031542117308,0.501953125,0.5,0.03623656392625871,0.5703125,0.001,2.7674535687605615,0.509765625,0.346,0.4428317417059108
PosteriorCingulate,0.474609375,0.857,-1.023945859173749,0.482421875,0.77,-0.6894535153686567,0.572265625,0.004,2.7215262324443152,0.568359375,0.006,2.6085596218747438
ACC & MPFC,0.53125,0.129,1.150602668184453,0.51953125,0.236,0.7507813409332795,0.541015625,0.061,1.549187505561896,0.486328125,0.696,-0.4672151894355658
Orbital & PolarFrontal,0.478515625,0.815,-0.8512264886804628,0.50390625,0.46,0.14104198273593876,0.544921875,0.042,1.7397444265625335,0.447265625,0.987,-2.0926423687748197
InferoirFrontal,0.591796875,0.0,3.468556934578376,0.490234375,0.651,-0.3497193974610181,0.55078125,0.021,1.9859451308311922,0.4921875,0.624,-0.26273693837227263
DLPFC,0.56640625,0.004,2.6097507180417305,0.455078125,0.965,-1.7605621310377961,0.5234375,0.198,0.9232664305343902,0.486328125,0.707,-0.5311155461495839
