ROI,Face_Accuracy,Face_p_value,Face_z_value,Scene_Accuracy,Scene_p_value,Scene_z_value
V1,0.279296875,0.095,1.3379247289944132,0.337890625,0.0,3.963078328529284
"V2, V3 & V4",0.310546875,0.007,2.7765169881168843,0.435546875,0.0,8.40896731750097
DorsalVisual,0.2421875,0.659,-0.34517465895001836,0.369140625,0.0,5.401399019347821
VentralVisual,0.212890625,0.972,-1.716270638546296,0.408203125,0.0,7.097556853233982
MT+Complex,0.26953125,0.224,0.7991807066980319,0.3828125,0.0,6.128305221031463
Somatosensory & Motor,0.173828125,0.999,-3.421617502403886,0.259765625,0.331,0.4498113098683754
Paracentral & MidCingulate,0.2421875,0.664,-0.3552133872739443,0.2890625,0.055,1.7054733885369682
Premotor,0.26953125,0.189,0.9221420785319826,0.2734375,0.16,1.0444013853892766
PosteriorOpercular,0.23046875,0.841,-0.9195727865342309,0.271484375,0.159,1.0228395235429635
EarlyAuditory,0.25,0.533,-0.02507319534500728,0.240234375,0.683,-0.4351841438951501
AuditoryAssociation,0.25390625,0.45,0.1980116325619066,0.26953125,0.223,0.7956546873351812
Insular & FrontoOpercular,0.28125,0.085,1.4136900593701827,0.26953125,0.212,0.8610772068158196
MedialTemporal,0.21484375,0.958,-1.6275863676252507,0.30078125,0.016,2.217219224563332
LateralTemporal,0.259765625,0.337,0.43849097350701827,0.30859375,0.006,2.6610194030843846
TPOJ,0.248046875,0.533,-0.0968063782673546,0.25,0.547,-0.03853331763029276
SuperiorParietal,0.23046875,0.83,-0.9173441377582171,0.35546875,0.0,4.847504129430421
InferiorParietal,0.251953125,0.464,0.12397279746888339,0.41015625,0.0,7.4601662941498255
PosteriorCingulate,0.240234375,0.692,-0.4495799876093711,0.36328125,0.0,4.944325252983094
ACC & MPFC,0.26953125,0.203,0.8354872402661441,0.26171875,0.306,0.5406598079186612
Orbital & PolarFrontal,0.28515625,0.062,1.5748836463475713,0.27734375,0.119,1.2775033826002453
InferoirFrontal,0.267578125,0.221,0.7897404549014634,0.25390625,0.439,0.21682299484210252
DLPFC,0.271484375,0.18,0.9617695906225361,0.287109375,0.062,1.575495345140605
