ROI,Face_Accuracy,Face_p_value,Face_z_value,Scene_Accuracy,Scene_p_value,Scene_z_value
V1,0.28125,0.08,1.4947662427155273,0.318359375,0.003,3.0448283531534917
"V2, V3 & V4",0.27734375,0.105,1.2937071555314115,0.4296875,0.0,8.41405282377806
DorsalVisual,0.28125,0.082,1.4299485491587085,0.423828125,0.0,8.038342907293291
VentralVisual,0.25390625,0.451,0.16296597155568548,0.318359375,0.0,3.077234788101182
MT+Complex,0.2734375,0.162,1.0456896355766867,0.3515625,0.0,4.68467558568938
Somatosensory & Motor,0.265625,0.226,0.7635246642406158,0.236328125,0.751,-0.6587944328388682
Paracentral & MidCingulate,0.25,0.485,0.024565797475190637,0.28515625,0.053,1.6923334420241947
Premotor,0.244140625,0.595,-0.2149818412530227,0.26953125,0.2,0.8984545140944354
PosteriorOpercular,0.248046875,0.543,-0.0927173155131852,0.267578125,0.235,0.8093800133953025
EarlyAuditory,0.251953125,0.503,0.04197060015526818,0.197265625,0.992,-2.4142312415260685
AuditoryAssociation,0.248046875,0.565,-0.12863300843434342,0.25390625,0.437,0.2003703257993142
Insular & FrontoOpercular,0.259765625,0.336,0.48492203929996425,0.26171875,0.309,0.5544038116018869
MedialTemporal,0.259765625,0.308,0.4838474915976892,0.326171875,0.0,3.6796964906924807
LateralTemporal,0.2421875,0.652,-0.32690726095539646,0.2734375,0.151,1.096437535190338
TPOJ,0.234375,0.76,-0.6977838807522355,0.251953125,0.474,0.08570834098217146
SuperiorParietal,0.265625,0.253,0.7422930037226373,0.37109375,0.0,5.548924685410705
InferiorParietal,0.29296875,0.021,1.9716495533046996,0.330078125,0.001,3.825350988775747
PosteriorCingulate,0.224609375,0.885,-1.1315486705368567,0.302734375,0.01,2.484476522549959
ACC & MPFC,0.275390625,0.158,1.0835144155026355,0.255859375,0.401,0.25373567487119736
Orbital & PolarFrontal,0.2421875,0.655,-0.33805969516301476,0.232421875,0.79,-0.7623987085852274
InferoirFrontal,0.240234375,0.69,-0.4545645464623657,0.240234375,0.669,-0.42303121224464313
DLPFC,0.22265625,0.905,-1.286081743445995,0.25390625,0.432,0.21938022030609483
