ROI,Race_Accuracy,Race_p_value,Race_z_value,Sex_Accuracy,Sex_p_value,Sex_z_value,Naturalness_Accuracy,Naturalness_p_value,Naturalness_z_value,Openness_Accuracy,Openness_p_value,Openness_z_value
V1,0.533203125,0.108,1.2680913180268094,0.47265625,0.857,-1.0468366325154999,0.60546875,0.0,3.9967189720114478,0.484375,0.746,-0.6473380709015011
"V2, V3 & V4",0.48046875,0.758,-0.6900933524587864,0.548828125,0.034,1.8732117605494087,0.669921875,0.0,6.5905383451467605,0.603515625,0.0,3.938330515113711
DorsalVisual,0.484375,0.73,-0.5782483769172156,0.54296875,0.058,1.5905834241903452,0.634765625,0.0,5.049476434619107,0.5703125,0.008,2.667168784321002
VentralVisual,0.50390625,0.451,0.1588992071980113,0.48828125,0.698,-0.5011361785377169,0.59765625,0.0,3.7520230044761855,0.515625,0.29,0.5424939496247737
MT+Complex,0.486328125,0.694,-0.4760045253244067,0.55078125,0.036,1.8115418778977772,0.64453125,0.0,5.4355242389903164,0.53125,0.128,1.1599276029963632
Somatosensory & Motor,0.517578125,0.232,0.7538085708117745,0.541015625,0.074,1.470192198587033,0.544921875,0.041,1.6559691516060384,0.40234375,1.0,-3.614694909925408
Paracentral & MidCingulate,0.494140625,0.601,-0.19652831916255223,0.517578125,0.255,0.6737052521713603,0.568359375,0.005,2.5808112396922462,0.48046875,0.768,-0.6721486859811614
Premotor,0.517578125,0.232,0.7611148673886453,0.5078125,0.406,0.2861869588643455,0.619140625,0.0,4.451647835760331,0.462890625,0.922,-1.4127342918808086
PosteriorOpercular,0.462890625,0.933,-1.435618714531451,0.482421875,0.767,-0.6441691839885724,0.50390625,0.459,0.14176572748130412,0.5234375,0.206,0.8803695617398368
EarlyAuditory,0.525390625,0.164,0.9642999581407233,0.505859375,0.43,0.20478157604484143,0.484375,0.737,-0.5733446405721984,0.447265625,0.981,-2.041499943806329
AuditoryAssociation,0.482421875,0.782,-0.6935733397763951,0.5625,0.011,2.337163482680953,0.541015625,0.082,1.4542230751662333,0.48046875,0.761,-0.7068709949569351
Insular & FrontoOpercular,0.54296875,0.06,1.679182053775401,0.525390625,0.181,0.9474823631382145,0.53125,0.126,1.1317547223244773,0.5,0.514,0.007089486069483164
MedialTemporal,0.494140625,0.601,-0.19389722431102202,0.529296875,0.164,1.0557906973942544,0.546875,0.031,1.8905863787644592,0.5625,0.016,2.2697303879251813
LateralTemporal,0.5078125,0.376,0.33053239111959415,0.509765625,0.35,0.37082687819094373,0.5078125,0.387,0.2991255245429504,0.46875,0.882,-1.1735984253604614
TPOJ,0.533203125,0.104,1.2911735915689058,0.435546875,0.992,-2.423888817136249,0.4921875,0.63,-0.28618582445985963,0.451171875,0.97,-1.8777800454160505
SuperiorParietal,0.5,0.534,-0.03254819906301076,0.5625,0.012,2.394984661758462,0.64453125,0.0,5.339151752263957,0.546875,0.043,1.757809290572655
InferiorParietal,0.556640625,0.017,2.2201845486069627,0.5390625,0.07,1.4619952901448756,0.60546875,0.0,4.108664327132045,0.552734375,0.033,1.9421713714433482
PosteriorCingulate,0.509765625,0.339,0.430840669237215,0.533203125,0.117,1.2697852506858072,0.546875,0.04,1.8331164477752044,0.48828125,0.695,-0.45297076179441764
ACC & MPFC,0.5078125,0.404,0.2718959255520624,0.548828125,0.03,1.8659166942650163,0.51171875,0.336,0.45404079464181735,0.53515625,0.101,1.2755501340698439
Orbital & PolarFrontal,0.53125,0.117,1.2423301213125875,0.51953125,0.251,0.7174937469832526,0.509765625,0.383,0.3666743730619163,0.47265625,0.858,-1.0046991949717015
InferoirFrontal,0.478515625,0.815,-0.848685020204391,0.53515625,0.096,1.3387976427932402,0.505859375,0.45,0.19880325374349708,0.466796875,0.913,-1.2737601013948339
DLPFC,0.45703125,0.959,-1.662425438818641,0.505859375,0.422,0.24139821066541112,0.541015625,0.063,1.577681668344437,0.48828125,0.69,-0.4616487116194306
