ROI,Face_Accuracy,Face_p_value,Face_z_value,Scene_Accuracy,Scene_p_value,Scene_z_value
V1,0.20768229166666669,0.978,-1.9290913438980297,0.3072916666666667,0.01,2.491440370411925
"V2, V3 & V4",0.23307291666666669,0.783,-0.7719464586281437,0.34049479166666663,0.0,4.156310817569103
DorsalVisual,0.267578125,0.216,0.7963487052785239,0.32356770833333337,0.0,3.4701506740876686
VentralVisual,0.22721354166666666,0.849,-1.0107157120858596,0.36067708333333337,0.0,5.1203735386736025
MT+Complex,0.21484375,0.953,-1.60369881200034,0.35416666666666663,0.0,4.795907132786545
Somatosensory & Motor,0.2506510416666667,0.477,0.03501549128236285,0.3118489583333333,0.002,2.7903376982332317
Paracentral & MidCingulate,0.28190104166666663,0.069,1.4941727507305944,0.2623697916666667,0.29,0.53492171985538
Premotor,0.2799479166666667,0.077,1.452297197508143,0.294921875,0.02,2.079655928531311
PosteriorOpercular,0.234375,0.759,-0.675444510922364,0.2591145833333333,0.362,0.40332007540195675
EarlyAuditory,0.306640625,0.007,2.642665052068503,0.23763020833333334,0.698,-0.5317172558586906
AuditoryAssociation,0.26236979166666663,0.307,0.528524417285365,0.17578125,1.0,-3.4369718843670807
Insular & FrontoOpercular,0.2630208333333333,0.266,0.5787075737175646,0.26692708333333337,0.204,0.8067982342574065
MedialTemporal,0.251953125,0.476,0.056550671579483285,0.3098958333333333,0.001,2.7699659285067617
LateralTemporal,0.25,0.512,-0.026743166097939603,0.2864583333333333,0.052,1.6762319581702607
TPOJ,0.279296875,0.099,1.3317457480339001,0.25390625,0.428,0.21062158079163681
SuperiorParietal,0.255859375,0.369,0.35027587921615366,0.3020833333333333,0.01,2.395590719293958
InferiorParietal,0.2708333333333333,0.159,1.0102353432562676,0.33333333333333337,0.0,3.8736938527735014
PosteriorCingulate,0.24153645833333331,0.668,-0.40741534528161705,0.275390625,0.108,1.1740757038094989
ACC & MPFC,0.28385416666666663,0.058,1.5724855642305888,0.2421875,0.641,-0.3833760279546255
Orbital & PolarFrontal,0.23828125,0.706,-0.5555123400561718,0.24869791666666666,0.52,-0.060965559613803476
InferoirFrontal,0.251953125,0.472,0.11337766290434585,0.29036458333333337,0.034,1.8281835329408607
DLPFC,0.25,0.529,-0.055052568178373576,0.287109375,0.05,1.6733507482447982
