ROI,Face_Accuracy,Face_p_value,Face_z_value,Scene_Accuracy,Scene_p_value,Scene_z_value
V1,0.236328125,0.743,-0.6090624936781839,0.333984375,0.0,4.066728263358789
"V2, V3 & V4",0.248046875,0.565,-0.10535188860544444,0.33984375,0.0,4.301159608432178
DorsalVisual,0.228515625,0.846,-0.9786736288640469,0.322265625,0.0,3.364699585522793
VentralVisual,0.21875,0.935,-1.4282196180011315,0.349609375,0.0,4.615948468960765
MT+Complex,0.25,0.518,-0.03746386447261439,0.330078125,0.0,3.84881195146629
Somatosensory & Motor,0.255859375,0.399,0.29191512407678993,0.31640625,0.001,3.2124564770588977
Paracentral & MidCingulate,0.26953125,0.186,0.9297308953025343,0.248046875,0.568,-0.11689533904586388
Premotor,0.2578125,0.362,0.39794878215817425,0.3046875,0.006,2.4966332190605525
PosteriorOpercular,0.2421875,0.653,-0.3594454563519737,0.259765625,0.346,0.4737749071226398
EarlyAuditory,0.283203125,0.063,1.6023059084578943,0.20703125,0.983,-2.06584662606202
AuditoryAssociation,0.2578125,0.384,0.3410397216010608,0.22265625,0.898,-1.2458086871568874
Insular & FrontoOpercular,0.2734375,0.152,1.0794270523512892,0.2265625,0.866,-1.1142636698656225
MedialTemporal,0.275390625,0.127,1.1798632042334654,0.28515625,0.054,1.6828563551032627
LateralTemporal,0.25390625,0.431,0.18649940220138037,0.28125,0.093,1.4487858656063095
TPOJ,0.2890625,0.039,1.7742347333460338,0.275390625,0.121,1.222594205290695
SuperiorParietal,0.25390625,0.448,0.16883364102347936,0.328125,0.0,3.7073434088929775
InferiorParietal,0.26171875,0.288,0.6001976526096264,0.314453125,0.0,3.1482463654833026
PosteriorCingulate,0.26171875,0.307,0.5511794614475909,0.326171875,0.0,3.547126461879578
ACC & MPFC,0.275390625,0.098,1.2660451789459564,0.240234375,0.708,-0.48291723916817475
Orbital & PolarFrontal,0.248046875,0.538,-0.0589978870595386,0.240234375,0.7,-0.42250092178638277
InferoirFrontal,0.275390625,0.118,1.2027228087326627,0.25390625,0.446,0.15343272466066288
DLPFC,0.234375,0.777,-0.7218638125816127,0.330078125,0.0,3.7219915440470444
