ROI,Race_Accuracy,Race_p_value,Race_z_value,Sex_Accuracy,Sex_p_value,Sex_z_value,Naturalness_Accuracy,Naturalness_p_value,Naturalness_z_value,Openness_Accuracy,Openness_p_value,Openness_z_value
V1,0.544921875,0.046,1.7055566287115789,0.56640625,0.005,2.566303826350296,0.4921875,0.615,-0.2833327393545609,0.58984375,0.0,3.3898040272106837
"V2, V3 & V4",0.54296875,0.052,1.6425754432478707,0.568359375,0.005,2.5502757203878956,0.595703125,0.001,3.6737323526861436,0.58203125,0.0,3.202311408737118
DorsalVisual,0.55078125,0.03,1.9412382764012888,0.505859375,0.401,0.2643342339679006,0.572265625,0.004,2.6952033039577143,0.638671875,0.0,5.399669200096307
VentralVisual,0.51171875,0.315,0.47168563669979163,0.455078125,0.961,-1.7632951843433051,0.580078125,0.001,2.9662187764258703,0.56640625,0.005,2.5417254095458044
MT+Complex,0.580078125,0.003,3.081236634258156,0.5390625,0.069,1.4533265027547628,0.634765625,0.0,5.037014396275034,0.5,0.545,-0.06221752962841876
Somatosensory & Motor,0.5078125,0.387,0.28762769213267314,0.556640625,0.016,2.1678177413197517,0.509765625,0.347,0.37831539678712395,0.498046875,0.532,-0.06631534575215506
Paracentral & MidCingulate,0.498046875,0.534,-0.07424664388703893,0.51171875,0.37,0.37896778667690856,0.51953125,0.232,0.7736853993946174,0.5078125,0.393,0.30595799006006635
Premotor,0.525390625,0.196,0.9193722924380939,0.49609375,0.586,-0.21159581347849046,0.51171875,0.322,0.47453348284275537,0.537109375,0.094,1.4386518912471153
PosteriorOpercular,0.54296875,0.053,1.6744204157364333,0.48828125,0.686,-0.44973029374460743,0.46484375,0.922,-1.4015574076783273,0.537109375,0.066,1.4883594502826365
EarlyAuditory,0.533203125,0.101,1.283033769425648,0.57421875,0.002,2.6923480137824782,0.51171875,0.348,0.3983904870082084,0.52734375,0.141,1.1101098009716135
AuditoryAssociation,0.49609375,0.591,-0.1668850370037168,0.505859375,0.429,0.23395365290207193,0.482421875,0.738,-0.6243107622131813,0.494140625,0.591,-0.18408381535039145
Insular & FrontoOpercular,0.5234375,0.215,0.8568998152395231,0.5546875,0.029,2.0118460024075118,0.509765625,0.378,0.35569244437547726,0.55859375,0.012,2.2163067482777437
MedialTemporal,0.494140625,0.591,-0.21069243456768866,0.51171875,0.361,0.411386855768215,0.58203125,0.001,3.1129606078237844,0.546875,0.042,1.7592149777442954
LateralTemporal,0.513671875,0.315,0.5335408088440894,0.4921875,0.64,-0.34464146899720904,0.59375,0.0,3.5260233697084513,0.494140625,0.589,-0.18244373011150056
TPOJ,0.490234375,0.663,-0.39548556297319815,0.5,0.507,0.005178847087360976,0.482421875,0.74,-0.618671227665417,0.5625,0.012,2.418458721762596
SuperiorParietal,0.568359375,0.008,2.4491161886124857,0.515625,0.318,0.5336036213113537,0.6171875,0.0,4.446241390921856,0.552734375,0.033,1.9596285709345962
InferiorParietal,0.5234375,0.195,0.90188779345297,0.55859375,0.014,2.2737366752035215,0.544921875,0.049,1.6805414188510588,0.580078125,0.001,3.0481766308451
PosteriorCingulate,0.515625,0.298,0.543022758369976,0.529296875,0.156,1.0697324334388911,0.54296875,0.062,1.5922178946849914,0.494140625,0.585,-0.17827827641861682
ACC & MPFC,0.52734375,0.158,1.031948671828291,0.537109375,0.094,1.3843615318534848,0.4765625,0.825,-0.8530950971288802,0.525390625,0.186,0.9740978384064194
Orbital & PolarFrontal,0.521484375,0.214,0.843231000044014,0.521484375,0.237,0.7634746486234603,0.466796875,0.912,-1.301146540110839,0.5078125,0.392,0.2769702239833711
InferoirFrontal,0.53125,0.133,1.1725630732976908,0.486328125,0.714,-0.5310378245009126,0.474609375,0.848,-0.9697544750390397,0.53125,0.123,1.2376747727087205
DLPFC,0.541015625,0.057,1.5943636056629777,0.505859375,0.432,0.1969114247560519,0.50390625,0.452,0.1274823554645097,0.560546875,0.011,2.273418417032357
