ROI,Race_Accuracy,Race_p_value,Race_z_value,Sex_Accuracy,Sex_p_value,Sex_z_value,Naturalness_Accuracy,Naturalness_p_value,Naturalness_z_value,Openness_Accuracy,Openness_p_value,Openness_z_value
V1,0.509765625,0.381,0.3404406756863051,0.451171875,0.971,-1.880366379710458,0.58984375,0.0,3.3667105295446453,0.65234375,0.0,5.775407223051327
"V2, V3 & V4",0.544921875,0.065,1.6124725250048226,0.46875,0.886,-1.1478797334717794,0.66796875,0.0,6.325320551681835,0.62109375,0.0,4.553006271881556
DorsalVisual,0.466796875,0.898,-1.2722357655544314,0.48046875,0.794,-0.7554113878919447,0.66796875,0.0,6.422345952220066,0.619140625,0.0,4.540947516653335
VentralVisual,0.544921875,0.043,1.6314984569995534,0.48828125,0.683,-0.4340147565570445,0.775390625,0.0,10.08424561815842,0.685546875,0.0,7.164453291253536
MT+Complex,0.515625,0.299,0.5696402832799047,0.517578125,0.266,0.6487664612604296,0.6953125,0.0,7.48817830883362,0.599609375,0.0,3.6167733773506767
Somatosensory & Motor,0.482421875,0.756,-0.6609753861204539,0.435546875,0.994,-2.4716680654778886,0.51953125,0.233,0.7842983206933358,0.490234375,0.647,-0.37025751153840925
Paracentral & MidCingulate,0.490234375,0.65,-0.3402706924675069,0.525390625,0.178,0.9566989995643579,0.509765625,0.362,0.4018213407615677,0.484375,0.739,-0.5898228523448532
Premotor,0.498046875,0.544,-0.05156872659405299,0.49609375,0.561,-0.11520000594530776,0.568359375,0.008,2.5509776356577993,0.583984375,0.0,3.179031849310825
PosteriorOpercular,0.552734375,0.023,2.0791105571921276,0.46484375,0.918,-1.3561278565583423,0.53125,0.117,1.1780621390732984,0.484375,0.746,-0.6105726701136661
EarlyAuditory,0.50390625,0.472,0.11578172670458944,0.517578125,0.281,0.6297406093317389,0.521484375,0.235,0.7713258949781612,0.546875,0.049,1.7078901545656116
AuditoryAssociation,0.470703125,0.874,-1.0947003041158978,0.53125,0.125,1.2096392499331028,0.505859375,0.446,0.18224461876435988,0.541015625,0.062,1.5625999861614326
Insular & FrontoOpercular,0.486328125,0.726,-0.5796680176807611,0.501953125,0.49,0.019871964098085407,0.5234375,0.215,0.8676043788735118,0.556640625,0.024,1.9905559430323896
MedialTemporal,0.517578125,0.254,0.68369724532447,0.501953125,0.489,0.0818668632108273,0.671875,0.0,6.486808080917444,0.580078125,0.0,3.0039134992953955
LateralTemporal,0.509765625,0.399,0.3186204178249586,0.509765625,0.375,0.3483832178856332,0.576171875,0.001,2.8930683595938236,0.580078125,0.003,2.877325089505349
TPOJ,0.4921875,0.646,-0.32841091805353717,0.48046875,0.787,-0.7497616127243657,0.59375,0.0,3.4852475070578692,0.53515625,0.097,1.3306342939660987
SuperiorParietal,0.498046875,0.545,-0.06283269104294352,0.51171875,0.361,0.41710467764440834,0.58984375,0.002,3.3242249018236523,0.552734375,0.019,2.0164838875391973
InferiorParietal,0.48828125,0.707,-0.5080349691215069,0.490234375,0.642,-0.33081346757059166,0.58984375,0.002,3.314155651124071,0.58984375,0.0,3.4269686962732284
PosteriorCingulate,0.48828125,0.684,-0.4272157989089211,0.45703125,0.947,-1.5947178326342881,0.6171875,0.0,4.341155319321161,0.552734375,0.024,1.9287924605349906
ACC & MPFC,0.515625,0.297,0.5799034220242619,0.474609375,0.832,-0.9514165009510921,0.578125,0.001,2.959265525711712,0.546875,0.046,1.6732172909481235
Orbital & PolarFrontal,0.513671875,0.303,0.5660405991060345,0.4609375,0.931,-1.4153968399521675,0.505859375,0.414,0.2480127463397314,0.49609375,0.618,-0.19925056424879442
InferoirFrontal,0.517578125,0.262,0.6747787018446133,0.533203125,0.096,1.305717629883121,0.533203125,0.105,1.254050394849622,0.55078125,0.039,1.8316913233332923
DLPFC,0.525390625,0.189,0.8924346202239708,0.541015625,0.063,1.5970450852417852,0.578125,0.001,3.066024968503419,0.525390625,0.183,0.9730908694418912
