ROI,Race_Accuracy,Race_p_value,Race_z_value,Sex_Accuracy,Sex_p_value,Sex_z_value,Naturalness_Accuracy,Naturalness_p_value,Naturalness_z_value,Openness_Accuracy,Openness_p_value,Openness_z_value
V1,0.5078125,0.398,0.29750170641839646,0.548828125,0.038,1.835038824402319,0.54296875,0.061,1.629667094206622,0.5625,0.005,2.396424298266305
"V2, V3 & V4",0.53515625,0.104,1.2372265013107253,0.5703125,0.006,2.6194955026870805,0.6328125,0.0,4.825331946943869,0.615234375,0.0,4.39251900626917
DorsalVisual,0.49609375,0.566,-0.1355605101731568,0.484375,0.75,-0.6203747744226761,0.61328125,0.0,4.11941509163537,0.623046875,0.0,4.52156565082322
VentralVisual,0.453125,0.963,-1.76783103548349,0.455078125,0.959,-1.6803769606851808,0.634765625,0.0,5.0724162459132565,0.59375,0.0,3.5766590806797063
MT+Complex,0.548828125,0.031,1.8655400083270546,0.4765625,0.812,-0.8652541476701235,0.640625,0.0,5.304713168594984,0.568359375,0.002,2.585336913521422
Somatosensory & Motor,0.4296875,0.994,-2.537527962585953,0.478515625,0.786,-0.7860781281445834,0.509765625,0.372,0.3846324626532701,0.51171875,0.303,0.5031467894622544
Paracentral & MidCingulate,0.53125,0.135,1.1318794523117202,0.494140625,0.562,-0.1566780112113911,0.451171875,0.974,-1.8091820734215796,0.537109375,0.092,1.398672490940886
Premotor,0.544921875,0.045,1.688946203790151,0.498046875,0.518,0.000367434410132622,0.51171875,0.331,0.474985669817682,0.541015625,0.067,1.5803872411531426
PosteriorOpercular,0.48046875,0.787,-0.756884177489379,0.521484375,0.232,0.775349818215885,0.494140625,0.603,-0.24142677785895408,0.541015625,0.076,1.5147317235349322
EarlyAuditory,0.4765625,0.829,-0.904201139423576,0.49609375,0.551,-0.12086049581888092,0.49609375,0.537,-0.07741451949344072,0.529296875,0.141,1.1417295367234135
AuditoryAssociation,0.474609375,0.831,-0.9232383614766732,0.509765625,0.329,0.4471685309227035,0.494140625,0.605,-0.2552149812342858,0.51953125,0.239,0.7544929828047309
Insular & FrontoOpercular,0.486328125,0.718,-0.5113253584306164,0.515625,0.295,0.5807748776394838,0.474609375,0.845,-0.9572403079781342,0.533203125,0.122,1.2532302123642567
MedialTemporal,0.5,0.507,0.007356967402503407,0.51171875,0.352,0.4011220284091282,0.533203125,0.121,1.2743571273461811,0.529296875,0.151,1.0601998149782557
LateralTemporal,0.4453125,0.971,-1.8807636766736975,0.4765625,0.847,-0.9301779789888927,0.53515625,0.116,1.2466568755035776,0.57421875,0.004,2.6238939807214203
TPOJ,0.494140625,0.638,-0.2930514399100769,0.560546875,0.008,2.2660038995161798,0.470703125,0.865,-1.0870362115628376,0.525390625,0.204,0.8960887058511176
SuperiorParietal,0.48828125,0.69,-0.4425588311117361,0.490234375,0.652,-0.34369558570978986,0.576171875,0.003,2.8039659950790328,0.630859375,0.0,4.7707649841172755
InferiorParietal,0.52734375,0.176,0.9715576046384313,0.529296875,0.142,1.1079474678949959,0.578125,0.0,3.040361859656148,0.63671875,0.0,5.065343991808094
PosteriorCingulate,0.4921875,0.625,-0.31569758521330793,0.466796875,0.901,-1.2393192841936571,0.564453125,0.01,2.408484446229289,0.603515625,0.0,3.8018678073766807
ACC & MPFC,0.509765625,0.379,0.3438629434686366,0.484375,0.712,-0.5518239042437292,0.482421875,0.725,-0.5961943936719029,0.541015625,0.068,1.5063449458194373
Orbital & PolarFrontal,0.4921875,0.639,-0.3170918359691602,0.51171875,0.316,0.501667097519806,0.48046875,0.775,-0.6960315552856162,0.55078125,0.03,1.9166519523834056
InferoirFrontal,0.505859375,0.434,0.223575213960549,0.544921875,0.051,1.7240095005902847,0.5,0.511,0.0491385627039495,0.556640625,0.02,2.1488712196193704
DLPFC,0.5,0.514,-0.00041991102031842156,0.53515625,0.087,1.342420464131965,0.51171875,0.339,0.4504878106890835,0.533203125,0.112,1.2780091976886645
