ROI,Face_Accuracy,Face_p_value,Face_z_value,Scene_Accuracy,Scene_p_value,Scene_z_value
V1,0.24609375,0.577,-0.16593427993703905,0.330078125,0.0,3.891114504615578
"V2, V3 & V4",0.29296875,0.034,2.0370322879897853,0.42578125,0.0,8.377220671357973
DorsalVisual,0.2890625,0.028,1.897832841964685,0.310546875,0.006,2.6809717634864985
VentralVisual,0.2109375,0.974,-1.8728366547914006,0.35546875,0.0,4.711350646146361
MT+Complex,0.271484375,0.18,0.9335787771134898,0.341796875,0.0,4.358546243161868
Somatosensory & Motor,0.25,0.542,-0.04320522778575528,0.294921875,0.023,2.0208717297628764
Paracentral & MidCingulate,0.25,0.546,-0.08525942741395517,0.314453125,0.005,2.7794013366575174
Premotor,0.2890625,0.043,1.7824405988556569,0.255859375,0.392,0.29250269653960836
PosteriorOpercular,0.271484375,0.17,0.9659440651901785,0.2734375,0.155,1.063313849289274
EarlyAuditory,0.251953125,0.486,0.09052813182655146,0.26171875,0.331,0.48770082328550773
AuditoryAssociation,0.2421875,0.645,-0.3748903335948826,0.2421875,0.664,-0.39800520339920786
Insular & FrontoOpercular,0.2578125,0.378,0.3865103348058132,0.279296875,0.095,1.358110955136988
MedialTemporal,0.2890625,0.054,1.6390269741799384,0.26953125,0.188,0.9213998248249928
LateralTemporal,0.279296875,0.09,1.3524389296914918,0.310546875,0.003,2.7760084943529826
TPOJ,0.251953125,0.462,0.13156555821499508,0.267578125,0.238,0.7769748668460462
SuperiorParietal,0.25,0.496,0.044431878522565485,0.28515625,0.052,1.688721798814746
InferiorParietal,0.2421875,0.656,-0.3771627191942303,0.330078125,0.001,3.300920132564996
PosteriorCingulate,0.208984375,0.979,-1.8747041744759956,0.283203125,0.085,1.4495849703986978
ACC & MPFC,0.240234375,0.71,-0.49535149047481714,0.28125,0.114,1.280950769890254
Orbital & PolarFrontal,0.271484375,0.184,0.9230340593464464,0.267578125,0.234,0.7481468725578719
InferoirFrontal,0.267578125,0.226,0.8005770216195965,0.3046875,0.007,2.5229491713457777
DLPFC,0.236328125,0.728,-0.5970602115060399,0.271484375,0.163,1.042888472522395
