ROI,Face_Accuracy,Face_p_value,Face_z_value,Scene_Accuracy,Scene_p_value,Scene_z_value
V1,0.236328125,0.758,-0.6561694915247877,0.2890625,0.038,1.8084239112213614
"V2, V3 & V4",0.25,0.486,0.03738761733384764,0.302734375,0.013,2.3089019562398314
DorsalVisual,0.228515625,0.857,-1.0343282569472954,0.25,0.517,-0.008444266950792043
VentralVisual,0.228515625,0.829,-0.9164767145723356,0.263671875,0.283,0.6026324761899591
MT+Complex,0.255859375,0.428,0.21311601520434234,0.32421875,0.002,3.2748519480759337
Somatosensory & Motor,0.248046875,0.553,-0.09951983233105616,0.28125,0.088,1.4315235585739494
Paracentral & MidCingulate,0.23828125,0.71,-0.5084455264558283,0.287109375,0.052,1.6562426439636606
Premotor,0.25390625,0.423,0.18975615928994988,0.244140625,0.617,-0.29889726060722216
PosteriorOpercular,0.259765625,0.386,0.3626031469132239,0.248046875,0.537,-0.07409321941595293
EarlyAuditory,0.2734375,0.16,1.0267831969212522,0.22265625,0.903,-1.2593451979893069
AuditoryAssociation,0.26171875,0.295,0.5243288049386826,0.2890625,0.053,1.741452902594867
Insular & FrontoOpercular,0.234375,0.785,-0.7611471591564563,0.275390625,0.139,1.111809384740705
MedialTemporal,0.248046875,0.56,-0.11298531007490357,0.298828125,0.016,2.2490679693828617
LateralTemporal,0.283203125,0.077,1.47726630354961,0.240234375,0.686,-0.43309778034664476
TPOJ,0.2578125,0.35,0.39618744507103065,0.291015625,0.047,1.8004792991631198
SuperiorParietal,0.212890625,0.971,-1.7322020985190918,0.283203125,0.07,1.5314459556004127
InferiorParietal,0.265625,0.279,0.6665036049842229,0.291015625,0.038,1.8796051888787628
PosteriorCingulate,0.240234375,0.695,-0.47558328213673634,0.298828125,0.022,2.1275694272648376
ACC & MPFC,0.25390625,0.449,0.17471302151766926,0.25390625,0.449,0.12720672626026633
Orbital & PolarFrontal,0.2578125,0.408,0.29774140005182087,0.259765625,0.345,0.40321839755741967
InferoirFrontal,0.23828125,0.71,-0.5565562432291707,0.2578125,0.36,0.3708041410195755
DLPFC,0.263671875,0.301,0.6022145761930374,0.275390625,0.145,1.0890863459009554
