ROI,Race_Accuracy,Race_p_value,Race_z_value,Sex_Accuracy,Sex_p_value,Sex_z_value,Naturalness_Accuracy,Naturalness_p_value,Naturalness_z_value,Openness_Accuracy,Openness_p_value,Openness_z_value
V1,0.521484375,0.231,0.7829848061481008,0.5234375,0.203,0.8677295515745412,0.576171875,0.004,2.791713125173246,0.515625,0.281,0.6201566670046472
"V2, V3 & V4",0.53125,0.113,1.226926196281752,0.51953125,0.22,0.8011187531968058,0.619140625,0.0,4.654991730086022,0.630859375,0.0,4.757355928706945
DorsalVisual,0.46484375,0.917,-1.3173186503431193,0.591796875,0.0,3.5538426151854234,0.53125,0.131,1.1757992287617227,0.51953125,0.244,0.7240311965974512
VentralVisual,0.501953125,0.511,0.014224813218565238,0.46484375,0.918,-1.3467553214125998,0.61328125,0.0,4.371004865869171,0.53125,0.126,1.1635786442785152
MT+Complex,0.521484375,0.201,0.8412721385964677,0.47265625,0.843,-0.9509468234833323,0.603515625,0.0,3.877001986191694,0.546875,0.034,1.8758508690896034
Somatosensory & Motor,0.509765625,0.321,0.4475688909423907,0.490234375,0.63,-0.2876539537934008,0.5546875,0.017,2.0537011373664087,0.525390625,0.184,0.9461415696908757
Paracentral & MidCingulate,0.482421875,0.755,-0.6314803332717053,0.490234375,0.629,-0.3304474205634251,0.53125,0.12,1.1671868737447264,0.533203125,0.106,1.2827715496200487
Premotor,0.529296875,0.139,1.135722257207039,0.52734375,0.166,0.9819280584802248,0.53125,0.145,1.1258703723633967,0.513671875,0.303,0.5307645323977648
PosteriorOpercular,0.517578125,0.247,0.7046978101562297,0.462890625,0.92,-1.4223090493889805,0.53515625,0.103,1.3201778346390465,0.51953125,0.241,0.71219062459261
EarlyAuditory,0.46484375,0.908,-1.2933197726007435,0.501953125,0.463,0.10098208640437138,0.55859375,0.014,2.276964188663275,0.4765625,0.834,-0.9347824252233768
AuditoryAssociation,0.482421875,0.744,-0.6698985195224921,0.466796875,0.899,-1.2420487793650328,0.537109375,0.093,1.3778834102824369,0.427734375,0.998,-2.715833756485656
Insular & FrontoOpercular,0.52734375,0.153,1.081448148967218,0.4921875,0.599,-0.24092850334737811,0.513671875,0.311,0.5409348630541441,0.490234375,0.667,-0.3859245374653101
MedialTemporal,0.5078125,0.403,0.2550319880170543,0.484375,0.749,-0.6044103806471496,0.53125,0.131,1.1659524659144014,0.46875,0.882,-1.137412778182649
LateralTemporal,0.48828125,0.691,-0.43346095282949276,0.46875,0.917,-1.324501511370654,0.5546875,0.02,2.0402192378942186,0.576171875,0.002,2.7595951856915484
TPOJ,0.525390625,0.182,0.9106845327093777,0.521484375,0.224,0.8329703955217305,0.50390625,0.471,0.13253927509243066,0.51953125,0.248,0.7251978062814486
SuperiorParietal,0.419921875,0.998,-3.1199426252411904,0.544921875,0.039,1.8092750042937735,0.57421875,0.001,2.8078421266032803,0.501953125,0.454,0.1436263925128826
InferiorParietal,0.509765625,0.37,0.39938511572205493,0.453125,0.966,-1.7104789450885485,0.5703125,0.005,2.5904124328549916,0.533203125,0.101,1.2767488068361714
PosteriorCingulate,0.49609375,0.576,-0.15133565618516961,0.490234375,0.644,-0.3658018989079784,0.548828125,0.029,1.8107216056967226,0.5078125,0.391,0.3355045329901804
ACC & MPFC,0.517578125,0.257,0.6876452374368774,0.501953125,0.482,0.05960941805627776,0.548828125,0.04,1.7944068716576436,0.51171875,0.33,0.4293521010770948
Orbital & PolarFrontal,0.51171875,0.34,0.4387735562451007,0.546875,0.03,1.8022300411964534,0.529296875,0.132,1.1424417888115175,0.412109375,1.0,-3.2697743571895317
InferoirFrontal,0.484375,0.745,-0.569485864774613,0.4609375,0.944,-1.5347931936550028,0.591796875,0.0,3.504806403052968,0.548828125,0.036,1.8349840067913457
DLPFC,0.4765625,0.816,-0.8635958160277167,0.49609375,0.552,-0.10212154311641664,0.46484375,0.915,-1.3044453610398654,0.552734375,0.023,1.9785738387913825
