ROI,Feature_Decoding_Accuracy,Feature_Decoding_pval,Feature_Decoding_zval,Feature_Decoding_Accuracy(P),Feature_Decoding_pval(P),Feature_Decoding_zval(P),Feature_Decoding_Accuracy(WM),Feature_Decoding_pval(WM),Feature_Decoding_zval(WM),Task_Decoding_Accuracy,Task_Decoding_pval,Task_Decoding_zval,Task_Decoding_Accuracy(F),Task_Decoding_pval(F),Task_Decoding_zval(F),Task_Decoding_Accuracy(S),Task_Decoding_pval(S),Task_Decoding_zval(S),XOR_Decoding_Accuracy,XOR_Decoding_pval,XOR_Decoding_zval,CCGP_Feature_Decoding_Accuracy,CCGP_Feature_Decoding_pval,CCGP_Feature_Decoding_zval,CCGP_Task_Decoding_Accuracy,CCGP_Task_Decoding_pval,CCGP_Task_Decoding_zval,Shattering_Dimensionality
V1,0.6279296875,0.0,7.229326512813514,0.73828125,0.0,8.937199770517275,0.578125,0.001,2.990925356633702,0.935546875,0.0,23.576310471284913,0.94140625,0.0,17.705477159586444,0.916015625,0.0,15.640419354821773,0.6083984375,0.0,5.71603347068722,0.50390625,0.45,0.19693480163584456,0.9140625,0.0,23.214502202855076,0.7239583333333334
"V2, V3 & V4",0.736328125,0.0,13.004191386197418,0.845703125,0.0,13.57270436228831,0.646484375,0.0,5.592171294419476,0.9755859375,0.0,26.23356307748861,0.958984375,0.0,17.505298662578134,0.970703125,0.0,18.157675665891805,0.662109375,0.0,8.731982414368249,0.5966796875,0.0,5.533109940317687,0.955078125,0.0,25.819967887864436,0.7913411458333334
DorsalVisual,0.6298828125,0.0,7.074010615662617,0.791015625,0.0,11.370476412481228,0.58984375,0.001,3.3757797859555616,0.8896484375,0.0,20.651273435212378,0.822265625,0.0,12.748723523766552,0.912109375,0.0,16.104561600211873,0.62890625,0.0,6.787451809385938,0.5576171875,0.001,3.3028889054020794,0.810546875,0.0,18.16340217885206,0.7161458333333334
VentralVisual,0.6826171875,0.0,10.116899222536214,0.794921875,0.0,11.551954059745254,0.58203125,0.0,3.110021548484708,0.919921875,0.0,23.720632421610496,0.919921875,0.0,17.06138802160271,0.947265625,0.0,16.692456735447625,0.5595703125,0.002,3.1815448495298706,0.6162109375,0.0,6.559577785378671,0.8916015625,0.0,22.738502930643065,0.720703125
MT+Complex,0.7216796875,0.0,11.883770811661279,0.822265625,0.0,13.00702700123264,0.64453125,0.0,5.483378249463584,0.9365234375,0.0,23.923922814789105,0.9140625,0.0,16.30978308290046,0.955078125,0.0,17.441742734246578,0.623046875,0.0,6.572467186610531,0.630859375,0.0,7.55811939953442,0.9189453125,0.0,23.193838889986186,0.7604166666666666
Somatosensory & Motor,0.546875,0.006,2.6914940371757967,0.59765625,0.0,3.732947498978516,0.498046875,0.544,-0.07498806913564715,0.7958984375,0.0,16.43892887501232,0.71484375,0.0,8.526216825259645,0.798828125,0.0,10.73507265481063,0.525390625,0.102,1.3025816784617643,0.4833984375,0.846,-0.9789476304573802,0.7470703125,0.0,13.452386204667432,0.6227213541666666
Paracentral & MidCingulate,0.52734375,0.048,1.5799444579666004,0.55078125,0.031,1.8936915247596644,0.478515625,0.809,-0.8559616815957144,0.78515625,0.0,15.579685720329486,0.76171875,0.0,10.034844522419718,0.7890625,0.0,11.026928561937446,0.49609375,0.574,-0.15977873968945444,0.5166015625,0.19,0.8974470817894744,0.759765625,0.0,14.309308500721471,0.6028645833333334
Premotor,0.591796875,0.0,5.025409247311467,0.703125,0.0,7.52714064554059,0.552734375,0.025,2.0550952210023956,0.9111328125,0.0,22.122306443037203,0.880859375,0.0,15.225556022444541,0.880859375,0.0,14.442636130073662,0.576171875,0.0,4.377745590378334,0.52734375,0.077,1.4778337698580968,0.853515625,0.0,20.21261155167958,0.6930338541666666
PosteriorOpercular,0.5302734375,0.052,1.6560296738567637,0.53125,0.114,1.2263984594045318,0.52734375,0.142,1.0743635985900797,0.716796875,0.0,11.944817571483584,0.66015625,0.0,6.155663674781658,0.732421875,0.0,9.030930555401367,0.515625,0.212,0.8502368136845253,0.494140625,0.64,-0.35401022186911313,0.671875,0.0,9.648903132591439,0.5875651041666666
EarlyAuditory,0.552734375,0.003,2.86994966615878,0.5703125,0.006,2.6184127943874107,0.533203125,0.1,1.2707983493780164,0.6845703125,0.0,9.944042040560017,0.662109375,0.0,6.552680851954836,0.685546875,0.0,7.176650549160131,0.515625,0.206,0.8220705208135253,0.521484375,0.112,1.223931863483972,0.6630859375,0.0,8.990366070672215,0.5843098958333334
