ROI,Feature_Decoding_Accuracy,Feature_Decoding_pval,Feature_Decoding_zval,Feature_Decoding_Accuracy(P),Feature_Decoding_pval(P),Feature_Decoding_zval(P),Feature_Decoding_Accuracy(WM),Feature_Decoding_pval(WM),Feature_Decoding_zval(WM),Task_Decoding_Accuracy,Task_Decoding_pval,Task_Decoding_zval,Task_Decoding_Accuracy(F),Task_Decoding_pval(F),Task_Decoding_zval(F),Task_Decoding_Accuracy(S),Task_Decoding_pval(S),Task_Decoding_zval(S),XOR_Decoding_Accuracy,XOR_Decoding_pval,XOR_Decoding_zval,CCGP_Feature_Decoding_Accuracy,CCGP_Feature_Decoding_pval,CCGP_Feature_Decoding_zval,CCGP_Task_Decoding_Accuracy,CCGP_Task_Decoding_pval,CCGP_Task_Decoding_zval
55b,0.6048177083333333,0.0,5.507168819816171,0.64453125,0.0,5.289218862964692,0.58984375,0.001,3.2674346004954815,0.8092447916666667,0.0,15.85410980101639,0.7721354166666667,0.0,9.919950635859275,0.7428385416666667,0.0,9.102002981457977,0.5598958333333333,0.0,3.0860997240956354,0.560546875,0.001,3.1245425395071447,0.7571614583333333,0.0,13.94902326524979
V3A,0.6559244791666667,0.0,7.933028283167642,0.73046875,0.0,8.718459387016996,0.625,0.0,4.714348546750157,0.9677734375,0.0,24.294775268594513,0.9609375,0.0,17.49427180404571,0.9752604166666667,0.0,17.731691193628965,0.6031901041666667,0.0,5.43948758571827,0.5869140625,0.0,4.6822400858888855,0.9466145833333334,0.0,24.597312077610876
RSC,0.5576171875,0.001,3.019032230159784,0.556640625,0.012,2.21230801717911,0.5735677083333333,0.004,2.7092134086735435,0.6285807291666667,0.0,6.6749788227584705,0.5983072916666667,0.0,3.95365175139133,0.6595052083333333,0.0,5.71265855848591,0.5325520833333333,0.06,1.597488195868646,0.5348307291666666,0.015,1.9064485381356358,0.5885416666666666,0.0,4.829899162942609
POS2,0.6422526041666667,0.0,7.399623351283298,0.6263020833333333,0.0,4.680292431710234,0.6608072916666667,0.0,5.911294270399301,0.7265625,0.0,11.645331240445477,0.68359375,0.0,7.207592108080603,0.7395833333333333,0.0,8.779303137517964,0.5514322916666667,0.003,2.6450862837626015,0.6181640625,0.0,6.397236886639219,0.671875,0.0,9.201770906407328
V7,0.6461588541666667,0.0,7.376883583961671,0.673828125,0.0,6.251782928710094,0.6028645833333333,0.001,3.5468638861760415,0.8512369791666667,0.0,17.185116986086985,0.828125,0.0,11.706595195627454,0.8658854166666667,0.0,14.022571352740789,0.5338541666666667,0.05,1.657294636402659,0.59765625,0.0,5.080122239309807,0.84375,0.0,17.903381452395223
IPS1,0.7692057291666667,0.0,13.51174170938729,0.7975260416666667,0.0,10.53589675176488,0.7174479166666667,0.0,8.236310401983788,0.8688151041666667,0.0,18.643675715795375,0.87890625,0.0,13.919723523027299,0.8951822916666667,0.0,14.939017281596644,0.5963541666666667,0.0,5.181552424373633,0.7249348958333333,0.0,12.1782337702403,0.8268229166666666,0.0,17.312510676044386
FFC,0.6139322916666666,0.0,5.689368913083718,0.6471354166666667,0.0,5.5278741020317,0.607421875,0.0,3.9841709688870526,0.8639322916666667,0.0,19.811710274458758,0.837890625,0.0,13.150486405400962,0.8795572916666667,0.0,14.238158310571736,0.5260416666666667,0.094,1.3366030694511941,0.5869140625,0.0,4.757335807029724,0.8466796875,0.0,19.215270815440185
V3B,0.7392578125,0.0,11.782467053548721,0.765625,0.0,9.279169096750662,0.6783854166666667,0.0,6.3246031224933486,0.830078125,0.0,16.053070025439098,0.77734375,0.0,10.266637899789067,0.8391927083333333,0.0,12.03742977376234,0.5403645833333333,0.016,2.082581809772062,0.6884765625,0.0,9.63117511563521,0.734375,0.0,12.183400687860047
LO1,0.6663411458333333,0.0,8.235111540167395,0.6770833333333333,0.0,6.512224082060179,0.6256510416666667,0.0,4.534453079533128,0.9514973958333333,0.0,22.472270818999796,0.9322916666666667,0.0,15.983381362798998,0.9635416666666667,0.0,17.42158777021806,0.5537109375,0.005,2.7109891416498315,0.5983072916666666,0.0,5.511520653895344,0.9368489583333333,0.0,22.974136113516664
LO2,0.6311848958333333,0.0,6.49456907304404,0.6451822916666667,0.0,5.371084141188796,0.6080729166666667,0.0,3.9931485441138634,0.9593098958333333,0.0,22.48468025784694,0.9466145833333333,0.0,16.493722556279593,0.9583333333333333,0.0,17.048671483415777,0.5192057291666667,0.169,0.9470092692732699,0.5813802083333334,0.0,4.284276423588816,0.9420572916666666,0.0,23.734373229324408
PIT,0.6194661458333333,0.0,6.282766116250062,0.6796875,0.0,6.367255994186058,0.5618489583333334,0.011,2.2438885330749874,0.9254557291666667,0.0,21.572356161697666,0.91015625,0.0,14.544169250328618,0.9440104166666667,0.0,16.257325513851004,0.5302734375,0.063,1.5431753629495197,0.5413411458333334,0.009,2.1824727498792127,0.904296875,0.0,21.375962493231555
MT,0.5859375,0.0,4.151770809960341,0.6236979166666667,0.0,4.381722220193584,0.5638020833333333,0.008,2.330336260106853,0.9059244791666667,0.0,20.449377601374525,0.8984375,0.0,14.909039645437987,0.8990885416666667,0.0,14.693478979495898,0.525390625,0.097,1.2573767319400673,0.5865885416666666,0.0,4.693236820758392,0.8948567708333334,0.0,20.92494517488379
A1,0.5042317708333333,0.429,0.18833112834428073,0.5358072916666667,0.094,1.3082372514999767,0.5162760416666667,0.257,0.6115757387278659,0.5950520833333333,0.0,4.740058483978682,0.5696614583333333,0.006,2.6021868798766272,0.5787760416666667,0.002,2.8965074350296196,0.5032552083333333,0.433,0.1506459860122965,0.5172526041666667,0.174,0.9148046969912765,0.5716145833333334,0.0,3.6002701983843233
PSL,0.5934244791666667,0.0,4.799015519439093,0.5514322916666667,0.027,1.960021930428963,0.5826822916666667,0.001,3.0438237530405843,0.7503255208333333,0.0,12.978919059404534,0.701171875,0.0,7.347314482471101,0.76953125,0.0,10.048191411647403,0.5475260416666667,0.006,2.423085595640194,0.546875,0.008,2.4470331472251297,0.7044270833333333,0.0,10.724193027808466
SFL,0.5302734375,0.083,1.4570573423690583,0.4889322916666667,0.647,-0.3840300665089547,0.5319010416666667,0.134,1.1534017834679964,0.7125651041666667,0.0,10.57651842692754,0.6796875,0.0,6.587670162473918,0.6881510416666667,0.0,7.015046114704324,0.4817708333333333,0.835,-0.9619123921621981,0.541015625,0.015,2.131921712516851,0.6962890625,0.0,10.355826805159774
PCV,0.6298828125,0.0,6.694647463780621,0.6256510416666667,0.0,4.48966875844099,0.6204427083333333,0.0,4.265674322522381,0.6507161458333333,0.0,7.459743798006045,0.6256510416666667,0.0,4.740146016480215,0.6751302083333333,0.0,6.274791035534917,0.5302734375,0.063,1.5709224442020582,0.5826822916666666,0.0,4.247383793488611,0.6175130208333334,0.0,6.2436650258609125
STV,0.5582682291666667,0.002,2.8699487290480277,0.56640625,0.007,2.4359587344785565,0.5403645833333333,0.063,1.463362574619116,0.6936848958333333,0.0,10.355833386284669,0.6614583333333333,0.0,5.8606710489375615,0.6920572916666667,0.0,7.332534570348349,0.5393880208333333,0.015,2.07304527902222,0.5270182291666666,0.091,1.4416072167390637,0.6305338541666667,0.0,6.7017389817642
7Pm,0.6780598958333333,0.0,8.905748695141243,0.6399739583333333,0.0,5.123503322608933,0.6569010416666667,0.0,5.889883044726192,0.7076822916666667,0.0,10.637418676751523,0.6875,0.0,6.558067858048649,0.728515625,0.0,8.676846540301204,0.5416666666666667,0.022,2.0765276157383195,0.6350911458333333,0.0,7.1634729495103535,0.6780598958333334,0.0,9.571162385747382
7m,0.5511067708333333,0.002,2.771414357612043,0.5084635416666666,0.37,0.35539022375063756,0.5748697916666667,0.004,2.8089152124946555,0.6256510416666667,0.0,6.288481101510379,0.572265625,0.006,2.6035469182839783,0.611328125,0.0,4.087877380936425,0.4951171875,0.637,-0.3088245636868384,0.5475260416666666,0.011,2.443100985848515,0.5947265625,0.0,4.985014466487877
POS1,0.5810546875,0.0,4.272030770818161,0.6028645833333334,0.0,3.7862323849320543,0.6002604166666667,0.0,3.634782382139622,0.6861979166666667,0.0,9.597219462486736,0.6419270833333333,0.0,5.20419592113982,0.71484375,0.0,8.229281472078368,0.5286458333333333,0.062,1.5080450387466142,0.5416666666666667,0.01,2.29835899619764,0.626953125,0.0,6.723942099447373
23d,0.5354817708333334,0.037,1.7362423282085662,0.490234375,0.646,-0.34084498389359835,0.5579427083333334,0.021,2.104402614426183,0.578125,0.0,3.922205883508993,0.5638020833333333,0.006,2.32359270188556,0.578125,0.004,2.7424160829182505,0.49153645833333337,0.669,-0.3928437862308756,0.53515625,0.033,1.8362004999762764,0.5810546875,0.0,4.298039673112341
v23ab,0.5634765625,0.0,3.1776680585403927,0.5364583333333333,0.108,1.2911792264837016,0.5559895833333333,0.025,1.9819801535922608,0.619140625,0.0,5.943642980684301,0.5891927083333333,0.001,3.2895144962276275,0.6106770833333333,0.0,4.288274802784126,0.5074869791666666,0.361,0.3720611146925211,0.5432942708333334,0.011,2.2593032562373754,0.611328125,0.0,5.855879243470575
d23ab,0.5716145833333333,0.0,3.528477760447425,0.5813802083333333,0.001,3.012155012233341,0.5533854166666667,0.022,2.051508161906655,0.6376953125,0.0,6.922291852895261,0.5774739583333333,0.001,2.8678696262149725,0.6328125,0.0,4.801093596245846,0.5198567708333334,0.17,0.9913250761331446,0.5686848958333333,0.0,3.606996790289012,0.5960286458333334,0.0,5.051685743752486
31pv,0.5589192708333333,0.001,2.8928417928495227,0.5924479166666667,0.0,3.4459004194710126,0.5852864583333333,0.0,3.0167565589885212,0.6236979166666667,0.0,6.164658238565131,0.5885416666666667,0.0,3.2663555228719714,0.630859375,0.0,4.637456403945426,0.5201822916666667,0.166,1.0127568765420656,0.548828125,0.008,2.4764526248383363,0.609375,0.0,5.621634000737344
5m,0.5426432291666667,0.018,2.125781544431624,0.49348958333333337,0.623,-0.2584561886652005,0.544921875,0.051,1.7228526038624192,0.609375,0.0,5.433733381426193,0.5611979166666667,0.015,2.239580404154948,0.6022135416666667,0.0,3.787028605089559,0.5065104166666667,0.386,0.3259904246613966,0.5322265625,0.056,1.6536105075473266,0.5888671875,0.0,4.728906169164545
5mv,0.5729166666666667,0.0,3.6467027389729716,0.5442708333333333,0.06,1.6303512071441266,0.548828125,0.034,1.8671460729220355,0.6276041666666667,0.0,6.525562443247961,0.5846354166666667,0.001,3.0677483005754347,0.6458333333333333,0.0,5.4444367046543825,0.47786458333333337,0.88,-1.1202230358119374,0.5628255208333333,0.0,3.3252919925067577,0.5904947916666666,0.0,4.887095426686049
23c,0.6435546875,0.0,7.1834278173296,0.6165364583333334,0.0,4.407260853849861,0.6217447916666667,0.0,4.455402665751848,0.6796875,0.0,9.093299508545835,0.5970052083333333,0.0,3.505474006427491,0.6692708333333333,0.0,6.429134486772816,0.5263671875,0.094,1.3222612910234368,0.6136067708333333,0.0,6.178346240035228,0.6087239583333334,0.0,5.9098297966845665
5L,0.5416666666666667,0.013,2.0934945428898453,0.521484375,0.215,0.8186546849033459,0.572265625,0.003,2.7182378120754542,0.6341145833333333,0.0,7.063834788176574,0.6158854166666667,0.0,4.398213581812635,0.62109375,0.0,4.602123089400774,0.5205078125,0.138,1.0640445551618773,0.5182291666666666,0.186,0.9381406506723962,0.5895182291666666,0.0,4.8478450850264405
24dd,0.521484375,0.13,1.0843364082586178,0.47526041666666663,0.829,-0.9261278789483429,0.4967447916666667,0.547,-0.11465200424686735,0.63671875,0.0,6.969166926873889,0.5735677083333333,0.002,2.85180411412591,0.607421875,0.0,4.1442117338060145,0.4833984375,0.802,-0.8408837720135759,0.5358072916666667,0.017,1.9886942719324903,0.5908203125,0.0,5.13037182098226
24dv,0.5335286458333333,0.041,1.6910322246883247,0.5377604166666667,0.092,1.3550408345344696,0.5169270833333334,0.274,0.5978689288027909,0.59375,0.0,4.690093624412055,0.6165364583333333,0.0,4.262980112458443,0.5833333333333333,0.001,3.115443822489386,0.498046875,0.529,-0.046184170771426725,0.509765625,0.301,0.5196437939911274,0.5862630208333334,0.0,4.46904006257802
7AL,0.560546875,0.0,3.1355952418486024,0.5390625,0.081,1.4686193230029865,0.5670572916666667,0.004,2.5238184296320463,0.6201171875,0.0,6.24921387538495,0.59375,0.0,3.4566039330809226,0.638671875,0.0,5.380189144069223,0.5152994791666666,0.234,0.7408845675033423,0.5348307291666667,0.032,1.894396705558883,0.5934244791666666,0.0,5.188360469036455
SCEF,0.5309244791666667,0.053,1.6327054355759134,0.5423177083333334,0.062,1.5569993169939902,0.5618489583333333,0.011,2.395605751701542,0.748046875,0.0,12.499886665769635,0.7428385416666667,0.0,8.777065494388971,0.7786458333333333,0.0,10.345333405867224,0.4967447916666667,0.534,-0.0992800902212029,0.5361328125,0.027,1.9143702919685721,0.7233072916666667,0.0,11.962914554035912
6ma,0.6412760416666667,0.0,7.357411749629462,0.6393229166666667,0.0,4.834759849686206,0.611328125,0.0,4.068191155446955,0.6767578125,0.0,8.825834657260115,0.6868489583333333,0.0,7.141064689113429,0.6510416666666667,0.0,5.505142614141529,0.5120442708333334,0.271,0.6107612840053479,0.5638020833333333,0.001,3.4252453087319457,0.6481119791666667,0.0,7.949419386707649
7Am,0.6243489583333333,0.0,6.2731794430022445,0.59765625,0.001,3.3813378218731573,0.6529947916666667,0.0,5.4472804974809526,0.6946614583333333,0.0,10.231999547289833,0.6223958333333333,0.0,4.471776352887379,0.7083333333333333,0.0,7.642842045030382,0.5263671875,0.093,1.3253194219441402,0.5777994791666667,0.0,4.317237022799324,0.6331380208333334,0.0,7.198274173215863
7PL,0.7522786458333333,0.0,13.015511666637336,0.7369791666666667,0.0,8.334081306289978,0.7220052083333333,0.0,7.860435321398976,0.7825520833333333,0.0,14.263951130669646,0.7083333333333333,0.0,7.646551831841649,0.7981770833333333,0.0,10.924120156373602,0.5638020833333333,0.0,3.229155643345909,0.6884765625,0.0,9.889209870812945,0.74609375,0.0,13.064459596356972
7PC,0.6263020833333333,0.0,6.600192682832828,0.595703125,0.0,3.665742124828227,0.6236979166666667,0.0,4.5455954583707845,0.7516276041666667,0.0,13.491613149061571,0.6764322916666667,0.0,6.516522795736979,0.7623697916666667,0.0,9.758683664535274,0.5465494791666667,0.005,2.3261944347368275,0.603515625,0.0,5.3929563787792185,0.6822916666666666,0.0,10.148061560322095
LIPv,0.7438151041666667,0.0,12.702212937257654,0.736328125,0.0,8.749275034598341,0.75390625,0.0,9.130257716550869,0.8190104166666667,0.0,15.924599139218055,0.759765625,0.0,9.7507969517127,0.82421875,0.0,12.14015105265312,0.5328776041666667,0.045,1.6913352298232591,0.720703125,0.0,11.88373723321892,0.7711588541666666,0.0,14.306445084842778
VIP,0.6682942708333333,0.0,9.158042558959432,0.7174479166666667,0.0,7.7136151538707844,0.6692708333333333,0.0,6.259360843625242,0.755859375,0.0,12.712043233156876,0.748046875,0.0,8.914510408306104,0.7330729166666667,0.0,8.564232518559143,0.541015625,0.013,2.1686728698602873,0.6673177083333334,0.0,8.66688890411052,0.7180989583333334,0.0,11.799071042385718
MIP,0.775390625,0.0,13.40021096014739,0.802734375,0.0,10.965677396001524,0.75,0.0,9.075884660371702,0.8460286458333333,0.0,18.020777618108603,0.8268229166666667,0.0,11.994371085000358,0.8795572916666667,0.0,14.229798066559248,0.5530598958333333,0.002,2.7822083298668767,0.7457682291666666,0.0,12.955266891685477,0.8030598958333334,0.0,16.424803042863584
1,0.5364583333333333,0.029,1.9494637740258633,0.515625,0.264,0.6159582494729461,0.5885416666666667,0.0,3.3409692563453857,0.7171223958333333,0.0,11.542768371766046,0.7154947916666667,0.0,8.57294977573233,0.736328125,0.0,9.388024335175713,0.5266927083333334,0.086,1.3929767393085102,0.5052083333333333,0.376,0.2906377257550596,0.7145182291666666,0.0,11.908406065231619
