ROI,Feature_Decoding_Accuracy,Feature_Decoding_pval,Feature_Decoding_zval,Feature_Decoding_Accuracy(P),Feature_Decoding_pval(P),Feature_Decoding_zval(P),Feature_Decoding_Accuracy(WM),Feature_Decoding_pval(WM),Feature_Decoding_zval(WM),Task_Decoding_Accuracy,Task_Decoding_pval,Task_Decoding_zval,Task_Decoding_Accuracy(F),Task_Decoding_pval(F),Task_Decoding_zval(F),Task_Decoding_Accuracy(S),Task_Decoding_pval(S),Task_Decoding_zval(S),XOR_Decoding_Accuracy,XOR_Decoding_pval,XOR_Decoding_zval,CCGP_Feature_Decoding_Accuracy,CCGP_Feature_Decoding_pval,CCGP_Feature_Decoding_zval,CCGP_Task_Decoding_Accuracy,CCGP_Task_Decoding_pval,CCGP_Task_Decoding_zval,Shattering_Dimensionality
V1,0.6279296875,0.0,7.227607736386558,0.73828125,0.0,8.933964866378783,0.578125,0.001,2.9910072314982203,0.935546875,0.0,23.577786278799753,0.94140625,0.0,17.704546838942395,0.916015625,0.0,15.631905383574935,0.6083984375,0.0,5.716711452471712,0.50390625,0.45,0.19753320910443004,0.9140625,0.0,23.213812638710955,0.7239583333333334
MST,0.5380859375,0.024,1.938976302095119,0.61328125,0.0,4.073355638000672,0.466796875,0.87,-1.1655827476464886,0.810546875,0.0,15.981644131679483,0.78125,0.0,10.538874844216933,0.8046875,0.0,11.125424705375554,0.5439453125,0.017,2.2397278911747436,0.4853515625,0.795,-0.7673927785850647,0.7841796875,0.0,15.162331709232278,0.630859375
V6,0.5625,0.001,3.345678373944324,0.642578125,0.0,5.105407647652684,0.537109375,0.101,1.2654161337435936,0.7919921875,0.0,15.079950329079013,0.712890625,0.0,7.836654332012207,0.794921875,0.0,11.051451615302154,0.55859375,0.003,2.9891655071845182,0.5126953125,0.265,0.6468384916793435,0.71875,0.0,11.646484581978969,0.6376953125
V2,0.658203125,0.0,8.77149008947851,0.732421875,0.0,8.917750175674172,0.580078125,0.0,3.125893125366999,0.9658203125,0.0,25.529422018003682,0.958984375,0.0,17.475643713139824,0.958984375,0.0,17.68953567775085,0.5771484375,0.0,4.131504176302618,0.5576171875,0.002,3.2866685578991386,0.9541015625,0.0,27.029022035985292,0.7337239583333334
V3,0.66015625,0.0,8.599341364674423,0.787109375,0.0,11.01217656235145,0.599609375,0.0,3.8384376992196114,0.9560546875,0.0,24.1988847029893,0.916015625,0.0,16.285826240707234,0.947265625,0.0,17.060327996381655,0.62890625,0.0,6.801549340959658,0.5546875,0.002,3.072597928872958,0.923828125,0.0,23.181957375777465,0.7483723958333334
V4,0.7021484375,0.0,10.904068975686718,0.80859375,0.0,11.774546619758969,0.69140625,0.0,7.267297156884266,0.9482421875,0.0,23.48394216831404,0.91015625,0.0,16.768941628586727,0.951171875,0.0,16.744545574579906,0.642578125,0.0,7.7239867253098256,0.5859375,0.0,4.869730223438789,0.9326171875,0.0,24.481046347733976,0.7643229166666666
V8,0.5751953125,0.0,3.7507538408623255,0.6796875,0.0,6.5741335235070055,0.513671875,0.318,0.5297486248256393,0.8193359375,0.0,15.833173156730386,0.779296875,0.0,10.322742053483102,0.794921875,0.0,10.841448149274044,0.54296875,0.018,2.131067172778832,0.51953125,0.171,0.9889273403438027,0.759765625,0.0,14.239280328503149,0.6458333333333334
4,0.525390625,0.105,1.278228429540795,0.5546875,0.021,2.0936879898441196,0.521484375,0.212,0.8466255481502305,0.689453125,0.0,10.070090404955069,0.634765625,0.0,5.13210523022606,0.708984375,0.0,8.008415552728358,0.5078125,0.36,0.3871103784215487,0.486328125,0.793,-0.8017158053907106,0.650390625,0.0,8.134074836294687,0.57421875
3b,0.5234375,0.104,1.276799188637183,0.53125,0.114,1.208091819506443,0.501953125,0.461,0.1226020104923442,0.689453125,0.0,9.6067888246582,0.642578125,0.0,5.457297062964481,0.73046875,0.0,8.41644436445763,0.5068359375,0.378,0.34175797057676954,0.533203125,0.033,1.8362245896232472,0.6728515625,0.0,9.488675241808771,0.5732421875
FEF,0.5478515625,0.002,2.4616962021489783,0.64453125,0.0,5.370596428386468,0.552734375,0.038,1.825253241454628,0.796875,0.0,15.221809571497491,0.79296875,0.0,11.100218634171483,0.7734375,0.0,10.00527107694125,0.5546875,0.001,2.8301138115257416,0.5068359375,0.371,0.3522155943639017,0.759765625,0.0,13.823512931750033,0.6331380208333334
PEF,0.5556640625,0.0,2.895757219320651,0.642578125,0.0,5.185436924059429,0.515625,0.266,0.6784534286509588,0.734375,0.0,11.980235213645376,0.7109375,0.0,7.6313758193727566,0.763671875,0.0,9.59734385605736,0.5390625,0.025,1.9772510200863989,0.515625,0.253,0.7534043782916799,0.6904296875,0.0,10.211389569836228,0.6097005208333334
55b,0.5439453125,0.005,2.313631338941542,0.55859375,0.017,2.143560288706821,0.494140625,0.557,-0.13940444647192032,0.7109375,0.0,10.586529594562288,0.693359375,0.0,7.024995281634084,0.720703125,0.0,8.023935890618604,0.5498046875,0.0,2.4797662686969897,0.49609375,0.551,-0.1265053728370315,0.6796875,0.0,9.355526446604706,0.6015625
V3A,0.611328125,0.0,5.955909463116319,0.787109375,0.0,10.026165711810107,0.59765625,0.0,3.5781465315885326,0.8330078125,0.0,17.10185391507968,0.82421875,0.0,12.031159093596916,0.880859375,0.0,14.01526569384042,0.63671875,0.0,7.052471711864521,0.5380859375,0.02,2.072852789871875,0.7880859375,0.0,15.813444311664952,0.6936848958333334
RSC,0.5419921875,0.013,2.2097171979808836,0.564453125,0.006,2.3680261288839555,0.49609375,0.598,-0.17295644250954356,0.63671875,0.0,7.122588601933818,0.6171875,0.0,4.5144397926967,0.646484375,0.0,5.377479946681529,0.4990234375,0.53,-0.05718581788939448,0.515625,0.216,0.8451992376753584,0.609375,0.0,5.92507079691228,0.5592447916666666
POS2,0.580078125,0.0,4.133609168227558,0.599609375,0.0,3.590922116956741,0.556640625,0.009,2.193975552713731,0.7265625,0.0,11.652140435637026,0.7109375,0.0,8.052345343914457,0.6953125,0.0,7.0749522782535905,0.5595703125,0.002,2.9873342903249256,0.5400390625,0.017,2.0940758452517856,0.6708984375,0.0,9.103199634554148,0.6220703125
V7,0.5859375,0.0,4.4233157973951345,0.650390625,0.0,5.386567157307265,0.55078125,0.035,1.8098542430451643,0.685546875,0.0,9.552258605768687,0.6875,0.0,6.9704840622361655,0.7265625,0.0,8.361308206387173,0.5927734375,0.0,4.410425250743568,0.5380859375,0.019,2.0225787004010547,0.640625,0.0,7.439733178111547,0.6214192708333334
IPS1,0.5732421875,0.0,3.6509592601028613,0.595703125,0.0,3.6101100284505536,0.546875,0.047,1.6951590205971405,0.6435546875,0.0,6.973923827800584,0.60546875,0.0,3.8631311936281576,0.685546875,0.0,6.761166157285664,0.4990234375,0.537,-0.06109737528577677,0.5498046875,0.006,2.642207527758861,0.62109375,0.0,6.278027728893682,0.5719401041666666
FFC,0.6318359375,0.0,6.865493200695876,0.7109375,0.0,7.9516079474179415,0.552734375,0.02,1.9430848676562895,0.810546875,0.0,16.76751361917332,0.818359375,0.0,12.01818332936729,0.830078125,0.0,12.613139123709766,0.537109375,0.033,1.9307555658915523,0.5927734375,0.0,5.214555092393905,0.802734375,0.0,16.737203849294975,0.6598307291666666
V3B,0.6435546875,0.0,7.167406681276547,0.7578125,0.0,9.081435104296268,0.556640625,0.022,1.994407117566051,0.7431640625,0.0,12.232811574839904,0.66796875,0.0,6.167575788389678,0.78125,0.0,10.547230007344595,0.5849609375,0.0,4.256099433387622,0.5810546875,0.0,4.2371635485949675,0.6669921875,0.0,8.84219357642531,0.6572265625
LO1,0.669921875,0.0,8.52207325912769,0.701171875,0.0,7.152392331628471,0.615234375,0.0,4.153337734446051,0.869140625,0.0,18.199126729101103,0.80859375,0.0,11.291591381170658,0.859375,0.0,12.86563715986985,0.5810546875,0.0,4.171105450256693,0.60546875,0.0,5.714672606461212,0.826171875,0.0,16.865614866680957,0.7067057291666666
LO2,0.646484375,0.0,7.517748231331534,0.697265625,0.0,7.169499461666532,0.583984375,0.001,3.016669466658383,0.8896484375,0.0,19.55257199669606,0.85546875,0.0,13.276558970329198,0.861328125,0.0,13.473175529690272,0.51953125,0.153,1.0470916230169747,0.59375,0.0,5.218377361115708,0.8740234375,0.0,19.169373887334046,0.6852213541666666
PIT,0.56640625,0.0,3.4015442935552676,0.6015625,0.0,3.892945888850114,0.533203125,0.106,1.2508094852569842,0.8818359375,0.0,19.761223554844555,0.88671875,0.0,14.405910826485448,0.873046875,0.0,13.853283803225324,0.513671875,0.242,0.7198313779391212,0.5244140625,0.105,1.3070732220131303,0.875,0.0,20.237874662275036,0.6539713541666666
MT,0.5888671875,0.0,4.508419433067579,0.646484375,0.0,5.228910261231376,0.5703125,0.004,2.452282090266871,0.833984375,0.0,16.547037635513867,0.794921875,0.0,10.556226714881939,0.837890625,0.0,12.532586671918018,0.5771484375,0.0,3.8726317824777,0.533203125,0.05,1.6457119284656967,0.806640625,0.0,16.170859691100553,0.6666666666666666
A1,0.5283203125,0.078,1.4173374701644266,0.58203125,0.0,3.002594785038463,0.501953125,0.469,0.10274826953915496,0.619140625,0.0,6.094958686735452,0.58203125,0.001,3.064530517469504,0.66015625,0.0,5.8059228990071,0.5234375,0.132,1.1374025763309255,0.4990234375,0.529,-0.05076236826978963,0.5654296875,0.0,3.611618151220816,0.5569661458333334
PSL,0.5068359375,0.344,0.4138271902475657,0.533203125,0.115,1.2665977016507464,0.48828125,0.687,-0.42390475037006287,0.69921875,0.0,10.538156964739109,0.66015625,0.0,6.04083089184844,0.734375,0.0,8.424049726026896,0.501953125,0.467,0.1040250039664789,0.505859375,0.353,0.37230742027472113,0.681640625,0.0,9.374832556732215,0.5693359375
SFL,0.5068359375,0.37,0.4027383214518806,0.5625,0.013,2.356684257099869,0.51953125,0.241,0.7557628652334274,0.669921875,0.0,8.997900121816198,0.669921875,0.0,6.185706733324826,0.68359375,0.0,6.428371570038109,0.5400390625,0.023,2.072697487685547,0.484375,0.793,-0.7644224897467338,0.6279296875,0.0,7.035958302777113,0.572265625
PCV,0.6044921875,0.0,5.164410684723172,0.572265625,0.003,2.6124633792581573,0.587890625,0.001,3.132484784381494,0.7197265625,0.0,11.343032964557253,0.68359375,0.0,6.676706692311686,0.72265625,0.0,7.924322448606755,0.529296875,0.066,1.5189641866116028,0.5322265625,0.043,1.7470862793729507,0.6640625,0.0,9.000016830107558,0.6178385416666666
STV,0.55859375,0.0,3.0520808653747507,0.580078125,0.001,2.8962556721640054,0.494140625,0.589,-0.19322566144680398,0.697265625,0.0,10.044218136953225,0.677734375,0.0,6.724539469081369,0.73828125,0.0,9.27937556676017,0.52734375,0.064,1.4759219136572077,0.533203125,0.037,1.8442440891440695,0.669921875,0.0,9.217096109368924,0.5944010416666666
7Pm,0.6279296875,0.0,6.522159428845295,0.650390625,0.0,5.3873639963648925,0.619140625,0.0,4.143141667852619,0.763671875,0.0,13.52796362030834,0.724609375,0.0,8.01163676291513,0.787109375,0.0,10.193954914775155,0.572265625,0.0,3.842272711596558,0.5390625,0.018,2.028891091270176,0.7236328125,0.0,11.544373055233269,0.6546223958333334
7m,0.52734375,0.096,1.3572529679479899,0.51171875,0.319,0.4694757836079699,0.49609375,0.583,-0.17630827740402744,0.6201171875,0.0,5.993744163214482,0.599609375,0.0,3.6181550687639454,0.611328125,0.0,4.181297257248412,0.5068359375,0.368,0.33964528003781286,0.513671875,0.23,0.7596561618760552,0.603515625,0.0,5.428472860636062,0.5514322916666666
POS1,0.53125,0.06,1.6027962062525023,0.603515625,0.0,3.749278897087325,0.5234375,0.207,0.8531096769912031,0.7060546875,0.0,10.227300266401468,0.630859375,0.0,5.065520163017021,0.693359375,0.0,7.253699524666479,0.5341796875,0.031,1.8354540439296998,0.525390625,0.095,1.3285411980293667,0.625,0.0,6.939815384844659,0.5904947916666666
23d,0.505859375,0.423,0.2903471199498525,0.54296875,0.065,1.5674128000408143,0.4921875,0.657,-0.3514671305381994,0.6298828125,0.0,6.665513591866175,0.609375,0.0,3.853073010565415,0.630859375,0.0,4.879372096515546,0.5029296875,0.467,0.12400467301679832,0.48046875,0.847,-1.0136533939916,0.5771484375,0.0,3.8740826779980875,0.5462239583333334
v23ab,0.53515625,0.032,1.796681866118811,0.59765625,0.0,3.491012503293045,0.505859375,0.422,0.19660972370261828,0.623046875,0.0,6.234059035393378,0.609375,0.0,4.004361961369968,0.62109375,0.0,4.532513700143872,0.5380859375,0.03,1.9302709725332323,0.50390625,0.441,0.18433082160023517,0.578125,0.0,4.087845267692014,0.5654296875
d23ab,0.541015625,0.021,2.078224907866277,0.572265625,0.008,2.6371196438999025,0.541015625,0.074,1.458579644742293,0.5869140625,0.0,4.321425707586997,0.572265625,0.004,2.697523893971717,0.576171875,0.005,2.661238772411584,0.521484375,0.156,1.0253221713823248,0.5166015625,0.187,0.8946038610562429,0.5712890625,0.0,3.8411575807718155,0.5498046875
