ROI,Feature_Decoding_Accuracy,Feature_Decoding_pval,Feature_Decoding_zval,Feature_Decoding_Accuracy(P),Feature_Decoding_pval(P),Feature_Decoding_zval(P),Feature_Decoding_Accuracy(WM),Feature_Decoding_pval(WM),Feature_Decoding_zval(WM),Task_Decoding_Accuracy,Task_Decoding_pval,Task_Decoding_zval,Task_Decoding_Accuracy(F),Task_Decoding_pval(F),Task_Decoding_zval(F),Task_Decoding_Accuracy(S),Task_Decoding_pval(S),Task_Decoding_zval(S),XOR_Decoding_Accuracy,XOR_Decoding_pval,XOR_Decoding_zval,CCGP_Feature_Decoding_Accuracy,CCGP_Feature_Decoding_pval,CCGP_Feature_Decoding_zval,CCGP_Task_Decoding_Accuracy,CCGP_Task_Decoding_pval,CCGP_Task_Decoding_zval,Shattering_Dimensionality
V1,0.6689453125,0.0,9.10313678763576,0.703125,0.0,7.763727605655355,0.6640625,0.0,6.059888394212744,0.9873046875,0.0,26.69657793432655,0.978515625,0.0,18.358379635230396,0.98046875,0.0,19.076642416698828,0.5771484375,0.0,4.336716952582665,0.572265625,0.0,4.310489297233941,0.974609375,0.0,25.909079404838643,0.7444661458333334
MST,0.5703125,0.0,3.6467162048831026,0.583984375,0.003,2.8659748600523787,0.587890625,0.002,3.0120463595311757,0.7890625,0.0,15.016963204847006,0.763671875,0.0,9.570357828780523,0.767578125,0.0,10.197302388624633,0.5166015625,0.232,0.8047827870649032,0.5556640625,0.003,2.8442625740364633,0.77734375,0.0,14.258196281586553,0.6253255208333334
V6,0.6806640625,0.0,9.133903580872444,0.708984375,0.0,7.6728191416750535,0.685546875,0.0,6.5517993743868015,0.8662109375,0.0,18.402165283479352,0.884765625,0.0,13.80767680200959,0.880859375,0.0,14.583129947189885,0.619140625,0.0,5.866898691432277,0.599609375,0.0,5.578307932369033,0.830078125,0.0,17.47530065817491,0.7220052083333334
V2,0.71875,0.0,11.835863847493794,0.75,0.0,9.595385849255772,0.73046875,0.0,8.955391035563649,0.9892578125,0.0,26.58735142002068,0.978515625,0.0,17.345289478801533,0.98046875,0.0,17.767020751739235,0.6044921875,0.0,5.661804264914945,0.638671875,0.0,7.746927661241175,0.982421875,0.0,26.694746865143596,0.7708333333333334
V3,0.6943359375,0.0,9.9566444428895,0.7109375,0.0,7.971341239263865,0.73828125,0.0,9.389982833201685,0.9892578125,0.0,26.403816891481295,0.990234375,0.0,18.894461268499875,0.986328125,0.0,18.598348215475085,0.6298828125,0.0,6.998298714121217,0.5986328125,0.0,5.798727899088547,0.9873046875,0.0,26.815163906027642,0.7711588541666666
V4,0.7197265625,0.0,11.51424486825905,0.724609375,0.0,8.674722770917537,0.74609375,0.0,9.111852936970402,0.9931640625,0.0,25.46149174227696,0.990234375,0.0,17.975257822292175,0.994140625,0.0,18.644948924301183,0.6474609375,0.0,7.634821609171469,0.62109375,0.0,6.839492960429912,0.9921875,0.0,26.189356618384668,0.7867838541666666
V8,0.646484375,0.0,7.233636004352479,0.662109375,0.0,6.01716664677693,0.634765625,0.0,4.883044549489218,0.98046875,0.0,24.169072674925676,0.97265625,0.0,17.007904597929357,0.978515625,0.0,17.62112628125587,0.5732421875,0.0,3.6546276217832108,0.5732421875,0.0,4.056498003084777,0.97265625,0.0,25.76049754222622,0.7333984375
4,0.54296875,0.016,2.2027935168982697,0.50390625,0.471,0.12830651271591662,0.580078125,0.0,3.048912721442063,0.7294921875,0.0,12.168311627689144,0.751953125,0.0,9.338904129668396,0.732421875,0.0,8.491792940633042,0.5380859375,0.02,2.1017842863836087,0.53515625,0.028,1.9920116745012408,0.6982421875,0.0,11.32465526390205,0.603515625
3b,0.5224609375,0.133,1.1422722996473658,0.49609375,0.585,-0.1742134889189929,0.572265625,0.004,2.776290157807947,0.7158203125,0.0,11.547872950821159,0.724609375,0.0,8.615171819663933,0.732421875,0.0,9.223948689653827,0.517578125,0.175,0.9527030410756282,0.498046875,0.552,-0.12260607668455513,0.736328125,0.0,12.99910526728757,0.5852864583333334
FEF,0.6318359375,0.0,6.657834094480564,0.6484375,0.0,5.567748083063673,0.61328125,0.0,4.343326668797632,0.8056640625,0.0,15.605886985604927,0.78515625,0.0,10.54967647508001,0.802734375,0.0,11.2892314162366,0.5244140625,0.097,1.318202815056677,0.5751953125,0.0,4.179950546447707,0.7900390625,0.0,15.078421741092372,0.6539713541666666
