ROI,Feature_Decoding_Accuracy,Feature_Decoding_pval,Feature_Decoding_zval,Feature_Decoding_Accuracy(P),Feature_Decoding_pval(P),Feature_Decoding_zval(P),Feature_Decoding_Accuracy(WM),Feature_Decoding_pval(WM),Feature_Decoding_zval(WM),Task_Decoding_Accuracy,Task_Decoding_pval,Task_Decoding_zval,Task_Decoding_Accuracy(F),Task_Decoding_pval(F),Task_Decoding_zval(F),Task_Decoding_Accuracy(S),Task_Decoding_pval(S),Task_Decoding_zval(S),XOR_Decoding_Accuracy,XOR_Decoding_pval,XOR_Decoding_zval,CCGP_Feature_Decoding_Accuracy,CCGP_Feature_Decoding_pval,CCGP_Feature_Decoding_zval,CCGP_Task_Decoding_Accuracy,CCGP_Task_Decoding_pval,CCGP_Task_Decoding_zval,Shattering_Dimensionality
6mp,0.5166015625,0.188,0.9181570636184337,0.5078125,0.404,0.3034605225086818,0.525390625,0.158,1.0379359826443721,0.6005859375,0.0,5.364600339591801,0.58984375,0.0,3.407965160925395,0.587890625,0.0,3.325285318260066,0.5087890625,0.374,0.42167473240404446,0.509765625,0.325,0.48093794737227324,0.5859375,0.0,4.532461635922461,0.5419921875
6v,0.5234375,0.119,1.21853552023285,0.505859375,0.45,0.17388232077279647,0.53515625,0.113,1.2342232715143482,0.6064453125,0.0,5.645426867697885,0.5859375,0.0,3.1014613252670986,0.599609375,0.0,3.626049410381458,0.474609375,0.932,-1.3893434042865365,0.5087890625,0.333,0.46248806609993437,0.587890625,0.0,4.659172058102109,0.5348307291666666
p24pr,0.5068359375,0.366,0.3680542934774418,0.521484375,0.221,0.7691879560322269,0.51171875,0.336,0.4782098017327296,0.6220703125,0.0,6.161479045825959,0.625,0.0,4.473406792375636,0.583984375,0.001,3.035118946575217,0.5166015625,0.204,0.8158350398521821,0.4970703125,0.562,-0.15408964131096764,0.580078125,0.0,4.260476055629126,0.5485026041666666
33pr,0.4716796875,0.919,-1.3822336247454936,0.453125,0.958,-1.7271979369323498,0.466796875,0.916,-1.2817218032224496,0.587890625,0.0,4.507166894883595,0.552734375,0.035,1.9725100682929595,0.580078125,0.002,2.956421447888929,0.50390625,0.424,0.22848475052427308,0.484375,0.825,-0.8914217571905364,0.5888671875,0.0,4.65849409330652,0.5211588541666666
a24pr,0.517578125,0.191,0.8956704273990433,0.5,0.514,0.005554902999528621,0.501953125,0.485,0.06999876651579012,0.6611328125,0.0,8.58755973570746,0.62890625,0.0,4.798326153251443,0.615234375,0.0,4.234898097420525,0.4970703125,0.577,-0.14964920927485528,0.498046875,0.558,-0.12014996503971911,0.6240234375,0.0,6.3808994499842075,0.55859375
p32pr,0.515625,0.182,0.9195546271643007,0.478515625,0.806,-0.8256475409157084,0.54296875,0.072,1.4774536826083458,0.650390625,0.0,7.821567702854805,0.62890625,0.0,4.722684544243972,0.609375,0.0,3.9533094180768216,0.494140625,0.603,-0.2877611643001803,0.5087890625,0.323,0.5103567058083477,0.625,0.0,6.636510155072968,0.5533854166666666
a24,0.5166015625,0.218,0.8252531587604248,0.478515625,0.796,-0.7833386919018542,0.4765625,0.823,-0.8752538925322109,0.560546875,0.0,3.1716461855215314,0.572265625,0.004,2.6211111197167476,0.53125,0.134,1.1352360964410397,0.51171875,0.275,0.6224319111317216,0.4853515625,0.795,-0.8197713586682094,0.5498046875,0.003,2.682812649850328,0.5296223958333334
d32,0.5263671875,0.098,1.3490982935483258,0.513671875,0.304,0.5262075319464862,0.54296875,0.068,1.5163346711593482,0.58984375,0.0,4.689277354153077,0.54296875,0.063,1.5505865575580886,0.5703125,0.004,2.5798787107082686,0.4921875,0.66,-0.35643952066875506,0.533203125,0.041,1.7680126773715077,0.5849609375,0.0,4.634216515305876,0.5361328125
8BM,0.533203125,0.05,1.6934735848623408,0.52734375,0.183,0.9706859903689524,0.5703125,0.003,2.6515220859527506,0.6396484375,0.0,7.277149707003554,0.607421875,0.0,3.8093923554938565,0.595703125,0.0,3.455649534127846,0.4970703125,0.559,-0.11869644497891241,0.5205078125,0.155,1.0558372795881887,0.623046875,0.0,6.483990705746003,0.556640625
p32,0.51171875,0.274,0.618975479974695,0.486328125,0.684,-0.45012659795745846,0.515625,0.3,0.6143997266606233,0.5693359375,0.002,3.3874007379027944,0.578125,0.002,2.8003492836252994,0.53515625,0.1,1.3465878921163545,0.4853515625,0.778,-0.7483719272027869,0.533203125,0.038,1.7111952019822125,0.541015625,0.016,2.208026320900656,0.5221354166666666
10r,0.5068359375,0.403,0.25751537245695494,0.498046875,0.537,-0.05045473120435472,0.482421875,0.745,-0.6250247875070329,0.5859375,0.0,4.631247262644658,0.609375,0.0,4.127015109745061,0.546875,0.044,1.7039963026535732,0.5234375,0.116,1.1945817556557103,0.50390625,0.421,0.18747082959664088,0.556640625,0.002,3.055257525510426,0.5387369791666666
47m,0.5576171875,0.001,2.9417084275108487,0.529296875,0.155,1.0442240325195764,0.560546875,0.014,2.2162059306031288,0.591796875,0.0,4.651998976175312,0.595703125,0.0,3.3136363194401293,0.58203125,0.002,2.945631770213294,0.498046875,0.554,-0.08093447649893099,0.5478515625,0.001,2.728388514861741,0.58203125,0.0,4.238537940767802,0.5491536458333334
