ROI,Feature_Decoding_Accuracy,Feature_Decoding_pval,Feature_Decoding_zval,Feature_Decoding_Accuracy(P),Feature_Decoding_pval(P),Feature_Decoding_zval(P),Feature_Decoding_Accuracy(WM),Feature_Decoding_pval(WM),Feature_Decoding_zval(WM),Task_Decoding_Accuracy,Task_Decoding_pval,Task_Decoding_zval,Task_Decoding_Accuracy(F),Task_Decoding_pval(F),Task_Decoding_zval(F),Task_Decoding_Accuracy(S),Task_Decoding_pval(S),Task_Decoding_zval(S),XOR_Decoding_Accuracy,XOR_Decoding_pval,XOR_Decoding_zval,CCGP_Feature_Decoding_Accuracy,CCGP_Feature_Decoding_pval,CCGP_Feature_Decoding_zval,CCGP_Task_Decoding_Accuracy,CCGP_Task_Decoding_pval,CCGP_Task_Decoding_zval
V1,0.6878255208333333,0.0,9.970492735627104,0.75390625,0.0,9.850201634834034,0.6614583333333333,0.0,6.190381386271735,0.9254557291666667,0.0,22.877035632449193,0.91796875,0.0,15.886143561697919,0.9036458333333333,0.0,15.338050478701218,0.5628255208333333,0.003,3.2578264297881274,0.6305338541666666,0.0,6.943463036645225,0.8776041666666666,0.0,20.848208275546618
MST,0.5084635416666666,0.349,0.37132973584208034,0.4778645833333333,0.79,-0.8026063553513095,0.525390625,0.184,0.9093536154679218,0.6357421875,0.0,6.786715214649421,0.6243489583333333,0.0,4.5145991504699765,0.6178385416666667,0.0,4.257655346306598,0.5152994791666667,0.209,0.7879204983825501,0.5009765625,0.504,0.040948083443013455,0.5992838541666666,0.0,5.00144145714003
V6,0.5400390625,0.016,2.1101678977331066,0.55078125,0.033,1.8657442430863669,0.5065104166666667,0.403,0.25972562271854915,0.6741536458333333,0.0,8.98174206547653,0.7057291666666667,0.0,7.1956427991194625,0.6328125,0.0,4.749127595308044,0.49186197916666663,0.667,-0.439784116847577,0.5377604166666666,0.021,1.960229050356291,0.6735026041666666,0.0,8.989773179129777
V2,0.6754557291666667,0.0,9.439540421128754,0.6712239583333333,0.0,6.345265485487045,0.6920572916666667,0.0,7.6111353976133955,0.9329427083333333,0.0,22.681934207099726,0.9303385416666667,0.0,16.458321481953895,0.92578125,0.0,16.480992999342618,0.5986328125,0.0,5.3342883131256995,0.6168619791666666,0.0,6.618907207611811,0.9029947916666667,0.0,21.912814929491596
V3,0.73046875,0.0,12.133235698871088,0.734375,0.0,8.755742531065076,0.7421875,0.0,9.301188317739319,0.9332682291666667,0.0,22.180379800128378,0.927734375,0.0,15.68956120117629,0.9140625,0.0,15.626922229450686,0.6162109375,0.0,6.014300489075853,0.6555989583333333,0.0,8.181901647234112,0.880859375,0.0,20.925773092979533
V4,0.6969401041666667,0.0,10.032329045418425,0.669921875,0.0,6.322392440740003,0.734375,0.0,9.063893055523792,0.8968098958333333,0.0,20.37056816590755,0.908203125,0.0,15.287830932740777,0.8971354166666667,0.0,14.839080257395958,0.6494140625,0.0,7.8446043118587845,0.5768229166666666,0.0,4.110371604226961,0.8567708333333334,0.0,19.736877691072472
V8,0.6158854166666667,0.0,5.698502782421467,0.59375,0.0,3.421407936244707,0.5963541666666667,0.0,3.491393084547002,0.7731119791666667,0.0,13.539894311216889,0.7688802083333333,0.0,9.71286432950783,0.7428385416666667,0.0,8.799780590098434,0.5472005208333333,0.008,2.4769191998191284,0.5660807291666666,0.0,3.4004432115988865,0.7418619791666667,0.0,12.738900054144395
4,0.4912109375,0.682,-0.456805199574958,0.5078125,0.369,0.32263184514136883,0.53125,0.122,1.1741440142765789,0.6350911458333333,0.0,7.166374641217569,0.6158854166666667,0.0,4.630293750841396,0.619140625,0.0,4.528810882627412,0.525390625,0.102,1.3339208267680487,0.4931640625,0.638,-0.34406705941519433,0.6025390625,0.0,5.599224221251599
3b,0.513671875,0.25,0.6895600195031703,0.498046875,0.571,-0.16372662879386418,0.5403645833333333,0.062,1.4748375425334217,0.6178385416666667,0.0,6.164289995976813,0.6380208333333333,0.0,5.153837812858433,0.56640625,0.008,2.4284239965063845,0.5319010416666667,0.047,1.6687490171098918,0.5139973958333334,0.214,0.7580523998788711,0.5921223958333333,0.0,5.027625880036009
FEF,0.6070963541666667,0.0,5.264692035730187,0.6087239583333333,0.0,4.045344639473599,0.59765625,0.001,3.7394754265831494,0.71484375,0.0,11.147825430982072,0.6861979166666667,0.0,6.750473882335473,0.6901041666666667,0.0,7.029837155452005,0.5270182291666667,0.087,1.3743271471180063,0.587890625,0.0,4.790531110891629,0.6858723958333334,0.0,9.630128919104544
