TrialNumber,Cue,FaceCategory,FaceExemplar,SceneCategory,SceneExemplar,ITI,TestPresence,FaceChange,SceneChange,Response,ReactionTime
1,1,1,83,1,65,4,0,NaN,NaN,NaN,NaN
2,2,3,83,4,2,6,0,NaN,NaN,NaN,NaN
3,1,3,39,1,42,5,1,39,32,NaN,NaN
4,2,1,82,2,23,6,0,NaN,NaN,NaN,NaN
5,1,2,10,4,1,4,0,NaN,NaN,NaN,NaN
6,1,2,92,2,48,5,1,92,52,NaN,NaN
7,2,3,28,2,10,7,1,89,25,NaN,NaN
8,2,2,45,1,48,6,0,NaN,NaN,NaN,NaN
9,1,1,23,3,29,5,1,84,62,NaN,NaN
10,1,3,26,3,38,4,0,NaN,NaN,NaN,NaN
11,2,2,71,3,40,7,1,71,40,NaN,NaN
12,1,4,90,4,7,5,1,90,7,NaN,NaN
13,2,4,92,3,22,6,0,NaN,NaN,NaN,NaN
14,2,1,58,4,52,7,1,98,52,NaN,NaN
15,2,4,67,1,10,7,1,16,10,NaN,NaN
16,1,4,9,2,22,4,0,NaN,NaN,NaN,NaN
17,1,3,12,4,43,4,0,NaN,NaN,NaN,NaN
18,2,3,70,1,20,6,1,3,41,NaN,NaN
19,1,2,2,3,58,5,1,2,58,NaN,NaN
20,1,2,16,1,31,4,0,NaN,NaN,NaN,NaN
21,2,4,41,2,31,7,0,NaN,NaN,NaN,NaN
22,2,2,20,2,62,6,1,85,28,NaN,NaN
23,2,4,20,4,3,6,1,20,35,NaN,NaN
24,1,4,32,3,4,4,0,NaN,NaN,NaN,NaN
25,1,4,76,1,44,5,1,19,29,NaN,NaN
26,1,1,21,2,27,4,0,NaN,NaN,NaN,NaN
27,1,3,46,2,7,5,1,34,7,NaN,NaN
28,2,3,42,3,45,7,0,NaN,NaN,NaN,NaN
29,2,2,1,4,31,7,0,NaN,NaN,NaN,NaN
30,2,1,20,1,35,7,0,NaN,NaN,NaN,NaN
31,2,1,48,3,35,6,1,48,35,NaN,NaN
32,1,1,62,4,12,5,1,62,12,NaN,NaN
33,1,4,41,4,31,4,1,52,31,NaN,NaN
